,분식,일식&돈까스,족발&보쌈,중국집,치킨,피자&양식,한식
매운국물떡볶이밀방떡-홍대입구점,1,0,0,0,0,0,0
가이오돈까스&국수,1,1,0,0,0,0,1
홍대마늘떡볶이-홍마떡본점,1,0,0,0,0,0,0
한입타코야끼,1,0,0,0,0,0,0
걸작떡볶이치킨-서울합정점,1,0,0,0,1,0,0
떡깨비-명지대점,1,0,0,0,0,0,0
테라김밥-홍대점,1,1,0,0,0,0,1
떡볶이도맛있는치킨플러스-성산점,1,0,0,0,0,0,0
킹케밥,1,0,0,0,0,0,0
왕초떡볶이,1,0,0,0,0,0,1
마포만두-망원점,1,0,0,0,0,0,1
김준현의눈치떡-신촌점,1,0,0,0,0,0,0
소소떡볶이-서교점,1,0,0,0,0,0,0
걸작떡볶이치킨-서울신촌점,1,0,0,0,1,0,0
채선당도시락&샐러드-상암DMC점,1,0,0,0,0,0,1
써니쌘드,1,0,0,0,0,0,0
용우동-성산점,1,1,0,0,0,0,0
혜화동떡볶이극장-서울성산점,1,0,0,0,0,0,0
봉구스밥버거-신수점,1,0,0,0,0,0,1
동대문신야채곱창-마포점,1,0,0,0,0,0,1
소고산제일루Express,1,0,0,1,0,0,0
걸작떡볶이치킨-서울광흥창점,1,0,0,0,1,0,0
릴리펏합정-메세나폴리스점,1,0,0,0,0,1,0
골드킹365,1,0,0,0,1,0,0
복정동떡볶이-북가좌DMC점,1,0,0,0,0,0,0
신참떡볶이-연희연남점,1,0,0,0,0,0,0
어린양꼬치-마포점,1,0,0,1,0,0,0
배떡-망원점,1,0,0,0,0,0,0
김밥천국-망원점,1,0,0,0,0,0,1
홍푸드1인분&갈비찜,1,1,0,0,0,0,1
배떡-홍대점,1,0,0,0,0,0,0
할머니가래떡볶이-홍대점,1,0,0,0,0,0,0
마라향기-마포점,1,0,0,1,0,0,0
빨간모자김밥,1,0,0,0,0,0,0
운남덮밥&마라탕-홍대서교본점,1,0,0,1,0,0,1
아메리칸푸드하우스,1,0,0,0,0,1,0
다미만두-망원점,1,0,0,0,0,0,1
옥토끼떡볶이-상암점,1,0,0,0,0,0,0
김가네-성산점,1,0,0,0,0,0,1
ASAPPIZZA-홍대점,1,0,0,0,0,1,0
유자유김치떡볶이-신촌점,1,0,0,0,0,0,0
마장동곱떡,1,0,0,0,0,0,0
땅스떡볶이-망원월드컵시장점,1,0,0,0,0,0,0
마장동차돌떡볶이,1,0,0,0,0,0,0
떡볶이도맛있는치킨플러스-서교점,1,0,0,0,0,0,0
피치떡-마포점,1,0,0,0,1,1,1
떡만치,1,0,0,0,1,0,0
용쓰떡꽃로제떡볶이,1,0,0,0,0,0,1
대륙포차-마포점,1,0,0,1,0,0,0
뉴스보이버거펍,1,0,0,0,0,1,0
망원동즉석떡볶이-본점,1,0,0,0,0,0,0
베트남쌀국수미스사이공-신촌역점,1,0,0,0,0,0,1
토마토도시락-홍대상수점,1,0,0,0,0,0,0
쏭떡,1,0,0,0,0,0,0
감미분식-연남점,1,1,0,0,0,0,1
청담곱떡-홍대점,1,0,0,0,0,0,0
한신떡볶이-마포점,1,0,0,0,1,0,0
JohnHouse,1,0,0,1,0,0,1
독도얼큰이-마포본점,1,0,0,0,0,0,1
골뱅이닭컴-본점,1,1,0,0,1,0,1
최가네크레이지떡볶이-홍대점,1,0,0,0,0,0,0
동대문엽기떡볶이-광흥창점,1,0,0,0,0,0,0
고돼지-신촌점,1,0,0,0,0,0,0
제육대가-마포구청점,1,0,0,0,0,0,1
옆집떡볶이-홍대1호점,1,0,0,0,1,0,0
철인7호치킨-홍대점,1,0,0,0,1,0,0
떡군이네떡볶이-서대문점,1,0,0,0,0,0,1
한촌설렁탕&도가니탕-망원역점,1,0,0,0,0,0,0
홍카츠-수제돈가츠전문점,1,1,0,0,0,0,0
88전복죽,1,1,0,0,0,0,1
동대문엽기떡볶이-신촌점,1,0,0,0,0,0,0
교동국수냉면해장국,1,0,1,0,0,0,0
금다래회관,1,0,0,0,1,0,0
신가네빨간집뼈해장국,1,0,0,0,0,0,1
프리미엄수제버거전문점,1,0,0,0,0,1,0
신불떡볶이-홍대점,1,0,0,0,0,0,0
장미로타리크럽,1,1,1,0,0,0,0
혼밥남녀-마포직영점,1,1,0,0,0,0,1
얌샘김밥-합정역점,1,0,0,0,0,0,0
더바삭한-삭3호점,1,0,0,0,0,0,0
전주참맛자랑,1,1,0,0,0,0,1
형제만두,1,0,0,1,0,0,0
연희닭강정,1,0,0,0,1,0,1
달토끼의떡볶이흡입구역-신촌점,1,0,0,1,0,1,0
인도음식포탈라-홍대점,1,0,0,0,1,0,0
카츠하루-홍대점,1,1,0,0,0,0,0
연예인도시락청년컵밥-홍대점,1,0,0,0,0,0,1
홍푸드&갈비찜&냉면,1,1,0,0,0,1,1
잉치킨-신촌점,1,0,0,0,1,0,0
불타는형제들연탄불고기,1,0,0,0,0,0,0
우리할매떡볶이-연남점,1,0,0,0,0,0,0
청년다방-망원점,1,0,0,0,0,0,0
통불-명지대점,1,0,0,0,1,0,0
통불떡볶이-명지대점,1,0,0,0,0,0,1
이대중독,1,0,0,0,0,0,0
삼첩분식-서울홍대점,1,0,0,0,0,0,0
,1,0,0,0,0,0,0
자매떡볶이-연남점,1,0,0,0,0,0,0
베트남쌀국수리얼하노이-홍대점,1,0,0,0,0,0,0
청담동마녀김밥-상암직영점,1,0,0,0,0,0,0
비가오면생면우동전문-상암점,1,1,0,0,0,0,1
툭툭누들타이,1,0,0,0,0,0,1
유가네닭갈비-홍대2호점,1,0,0,0,0,0,0
서촌먹태-마포점,1,0,0,0,0,0,1
청춘닭꼬치-서교점,1,0,0,0,0,0,0
청년다방-홍대점,1,0,0,0,0,0,0
돈까스대왕전-홍대점,1,1,0,0,0,0,0
아빠맘치킨-마포점,1,0,0,0,1,1,0
팔도돼지곱창-합정점,1,0,0,0,0,0,0
호차,1,0,0,1,1,0,1
사러가닭강정-연희점,1,0,0,0,1,0,1
동경닭강정-본점,1,0,0,0,1,0,0
북촌손만두-홍익대점,1,0,0,0,0,0,1
돼지게티-홍대점,1,0,0,0,0,0,0
아빠짜글이-본점,1,0,0,0,0,0,1
앙떡로제떡볶이-홍대점,1,0,0,0,0,0,0
돈코보쌈-본점,1,0,1,0,0,0,1
두남자의볶음밥＆포슈아베트남쌀국수,1,0,0,0,0,0,1
을찌로국물떡볶이-망원점,1,0,0,0,0,0,0
볶찜-북가좌DMC점,1,0,0,0,0,0,1
돈떡-서교점,1,1,0,0,0,0,1
쏘크라테스떡볶이-마포쏘크라테스점,1,0,0,0,0,0,0
배떡-북가좌점,1,0,0,0,0,0,0
레전드고기한상-마포점,1,0,0,0,0,0,0
무꼬뭐꼬-신촌점,1,0,0,0,0,0,0
떡대떡볶이,1,0,0,0,0,0,0
호텔식당,1,1,0,0,0,0,0
떡군이네떡볶이-홍대신촌점,1,0,0,0,0,0,1
인정국물떡볶이-북가좌점,1,0,0,0,0,0,0
스쿨푸드-딜리버리연희점,1,1,0,0,0,0,0
소이연남-본점,1,0,0,0,0,1,0
런뽀끼-당산점,1,0,0,0,0,0,0
떡볶이도맛있는치킨플러스-신수점,1,0,0,0,0,0,0
신촌떡볶킹,1,0,0,0,0,0,1
마신떡볶이-신촌점,1,0,0,0,0,0,1
치킨을사랑한떡볶이-이대점,1,0,0,0,1,0,0
쿠벤일식도시락,1,1,0,0,0,1,0
빅마마찬&떡볶이-공덕점,1,0,0,0,0,0,1
비비빔,0,1,0,0,0,0,0
"연어,육회먹기좋은날",0,1,0,0,0,0,0
섬이자카야,0,1,0,0,0,0,0
현이네회시장,0,1,0,0,0,0,0
라멘쿠르메,0,1,0,0,0,0,0
카쿠시타,0,1,0,0,0,0,0
착한밥도둑간장게장,0,1,0,0,0,0,1
하루엔소쿠-마포중앙도서관점,0,1,0,0,0,0,0
매일스시고등어활어회,0,1,0,0,0,0,0
마포구회맛집,0,1,0,0,0,0,1
만리수산-연희점,0,1,0,0,0,0,1
우리바다수산-성산점,0,1,0,0,0,0,0
오물오물-연남점,0,1,0,0,0,1,0
The청춘키친-은평점,0,1,0,0,0,0,0
스시앤-마포점,0,1,0,0,0,0,0
바다나라1박2일포차,0,1,0,0,0,0,0
산오징어양푼무침,0,1,0,0,0,0,0
청춘수제돈까스-성산점,0,1,0,0,0,0,0
버켓크랩,0,1,0,0,0,0,0
싱싱참치,0,1,0,0,0,0,0
탐나종합어시장-망원역점,0,1,0,0,0,0,0
야미가-홍대점,0,1,0,0,0,0,1
이쿠라멘&돈카츠-홍대점,0,1,0,0,0,0,0
만원이하이불덮밥&규동,0,1,0,0,0,0,1
밥도둑들,0,1,0,0,0,0,0
아름다운밤연어육회-마포점,0,1,0,0,0,0,0
불타는돈까스-망원점,0,1,0,0,0,0,0
서노스시,0,1,0,0,0,0,1
김판석초밥,0,1,0,0,0,0,0
이자카야&스시공감,0,1,0,0,0,0,0
최고당돈가스-망원점,0,1,0,0,0,0,0
토끼정,0,1,0,0,0,0,1
이불덮밥-상암DMC점,0,1,0,0,0,0,0
밥은먹었어,0,1,0,0,0,0,1
망원돈까스,0,1,0,0,0,0,0
혜화동돈까스극장-서울성산점,0,1,0,0,0,0,0
벚꽃스시-본점,0,1,0,0,0,0,0
참치의명가&야식포차,0,1,0,0,0,0,0
제주회집,0,1,0,0,0,0,0
승진참치,0,1,0,0,0,0,0
회뜨는총각-연남점,0,1,0,0,0,0,0
스시노하나,0,1,0,0,0,0,0
강릉어시장회,0,1,0,0,0,0,0
홍대수카츠,0,1,0,0,0,0,0
