,problemId,category
0,1000,arithmetic
1,1000,implementation
2,1000,math
3,1001,arithmetic
4,1001,implementation
5,1001,math
6,1002,geometry
7,1002,math
8,1003,dp
9,1004,geometry
10,1005,dp
11,1005,graphs
12,1005,topological_sorting
13,1006,dp
14,1007,bruteforcing
15,1007,math
16,1008,arithmetic
17,1008,implementation
18,1008,math
19,1009,implementation
20,1009,math
21,1010,combinatorics
22,1010,dp
23,1010,math
24,1011,math
25,1012,bfs
26,1012,dfs
27,1012,graph_traversal
28,1012,graphs
29,1013,regex
30,1013,string
31,1014,bitmask
32,1014,dp
33,1014,dp_bitfield
34,1014,flow
35,1015,sorting
36,1016,math
37,1016,number_theory
38,1016,primality_test
39,1016,sieve
40,1017,bipartite_matching
41,1017,math
42,1017,number_theory
43,1017,primality_test
44,1017,sieve
45,1018,bruteforcing
46,1019,math
47,1020,dp
48,1021,data_structures
49,1021,deque
50,1022,implementation
51,1023,combinatorics
52,1023,dp
53,1023,math
54,1024,math
55,1025,bruteforcing
56,1026,greedy
57,1026,math
58,1026,sorting
59,1027,bruteforcing
60,1027,geometry
61,1027,math
62,1028,dp
63,1029,bitmask
64,1029,dp
65,1029,dp_bitfield
66,1030,divide_and_conquer
67,1030,recursion
68,1032,implementation
69,1032,string
70,1033,euclidean
71,1033,graph_traversal
72,1033,graphs
73,1033,math
74,1033,number_theory
75,1034,ad_hoc
76,1034,bruteforcing
77,1035,bfs
78,1035,bitmask
79,1035,bruteforcing
80,1035,graph_traversal
81,1035,graphs
82,1036,arbitrary_precision
83,1036,greedy
84,1036,implementation
85,1036,math
86,1036,string
87,1037,math
88,1037,number_theory
89,1038,backtracking
90,1038,bruteforcing
91,1039,bfs
92,1039,graph_traversal
93,1039,graphs
94,1040,backtracking
95,1040,bitmask
96,1040,dp
97,1040,dp_bitfield
98,1040,greedy
99,1041,greedy
100,1041,math
101,1042,dp
102,1042,parsing
103,1042,string
104,1043,data_structures
105,1043,disjoint_set
106,1043,graph_traversal
107,1043,graphs
108,1044,mitm
109,1045,graphs
110,1045,greedy
111,1045,mst
112,1047,bruteforcing
113,1047,greedy
114,1048,dp
115,1048,prefix_sum
116,1049,greedy
117,1049,math
118,1050,graphs
119,1050,parsing
120,1050,string
121,1051,bruteforcing
122,1051,implementation
123,1052,bitmask
124,1052,greedy
125,1052,implementation
126,1052,math
127,1052,simulation
128,1053,dp
129,1055,implementation
130,1055,recursion
131,1055,simulation
132,1056,arbitrary_precision
133,1056,binary_search
134,1056,dijkstra
135,1056,dp
136,1056,graphs
137,1056,recursion
138,1057,bruteforcing
139,1057,math
140,1058,bruteforcing
141,1058,floyd_warshall
142,1058,graph_traversal
143,1058,graphs
144,1059,bruteforcing
145,1059,math
146,1059,sorting
147,1060,data_structures
148,1060,math
149,1060,priority_queue
150,1060,sorting
151,1062,backtracking
152,1062,bitmask
153,1062,bruteforcing
154,1063,implementation
155,1063,simulation
