,00.상품코드,00.이미지_URL,00.상품_URL,00.상품코드,01.브랜드,02.상품명,03.가격,04.제품 주요 사양,05.모든 성분,06.총 평점,07.리뷰 개수,08_1.별점 1점,08_2.별점 2점,08_3.별점 3점,08_4.별점 4점,08_5.별점 5점,09_1.피부타입_건성,09_2.피부타입_복합성,09_3.피부타입_지성,10_1.피부고민_보습,10_2.피부고민_진정,10_3.피부고민_주름/미백,11_1.피부자극_없음,11_2.피부자극_보통,11_3.피부자극_있음
0,A000000147339,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014733907ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147339&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000147339,아누아,[찐진정 토너] 아누아 어성초 77% 토너 350ml,30500,모든 피부용,약모밀추출물 정제수 12헥산다이올 글리세린 베타인 병풀추출물 체이스트트리추출물 우엉뿌리추출물 진흙버섯추출물 쇠비름추출물 포도추출물 사과추출물 사탕수수추출물 판테놀 마트리카리아꽃추출물 소듐하이알루로네이트 하이드록시프로필트라이모늄하이알루로네이트 하이드롤라이즈드하이알루로닉애씨드 소듐아세틸레이티드하이알루로네이트 하이알루로닉애씨드 소듐하이알루로네이트크로스폴리머 포타슘하이알루로네이트 메틸프로판다이올 부틸렌글라이콜 아이소펜틸다이올 아크릴레이트C1030알킬아크릴레이트크로스폴리머 트로메타민 다이소듐이디티에이,4.7,6601,0.0,0.01,0.04,0.15,0.8,0.18,0.63,0.19,0.17,0.83,0.01,0.76,0.22,0.02
1,A000000137180,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013718027ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137180&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000137180,라운드랩,[증량] 라운드랩 1025 독도 토너 (본품500ml+100ml 추가 증정),30000,모든 피부용,정제수 부틸렌글라이콜 글리세린 펜틸렌글라이콜 프로판다이올 아이리쉬모스추출물 사탕수수추출물 해수 12헥산다이올 프로테아제 베타인 판테놀 에틸헥실글리세린 알란토인 잔탄검 다이소듐이디티에이,4.8,5908,0.0,0.0,0.03,0.13,0.84,0.22,0.63,0.15,0.39,0.61,0.01,0.82,0.18,0.01
2,A000000150946,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015094608ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141704&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000141704,브링그린,[세븐틴 승관 Pick] 브링그린 티트리시카 수딩토너 510ml,22000,모든 피부용,티트리추출물 정제수 부틸렌글라이콜 다이프로필렌글라이콜 병풀추출물 펜틸렌글라이콜 티트리꽃잎줄기추출물 티트리잎오일 베타인 판테놀 콜레스24 소듐시트레이트 시트릭애씨드 에틸헥실글리세린 베타인살리실레이트 토코페롤 잔탄검,4.7,13352,0.01,0.01,0.04,0.15,0.8,0.13,0.59,0.28,0.14,0.86,0.01,0.61,0.36,0.03
3,A000000145578,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014557808ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000150722&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000150722,한율,한율 어린쑥 수분진정 2종세트(크림 15ml증정),49000,모든피부,토너 정제수 프로판다이올 글리세린 12헥산다이올 폴리글리세릴6카프릴레이트 폴리글리세릴4카프레이트 천궁수 왜당귀뿌리수 황해쑥잎수8390 ppm 판테놀 부틸렌글라이콜 향료 에틸헥실글리세린 다이소듐이디티에이 황해쑥잎오일10 ppm 빌베리열매추출물 사탕수수추출물 토코페롤 오렌지추출물 레몬추출물 설탕단풍추출물플루이드 정제수 프로판다이올 메틸트라이메티콘 황해쑥잎수16780 ppm 12헥산다이올 피씨에이다이메티콘 천궁수 왜당귀뿌리수 실리카 부틸렌글라이콜 판테놀 폴리메틸실세스퀴옥세인 폴리글리세릴6카프릴레이트 폴리글리세릴4카프레이트 암모늄아크릴로일다이메틸타우레이트브이피코폴리머 아크릴레이트C1030알킬아크릴레이트크로스폴리머 잔탄검 글리세릴카프릴레이트 트로메타민 향료 다이소듐이디티에이 에틸헥실글리세린 황해쑥잎오일10 ppm 토코페롤,4.8,600,0.0,0.01,0.02,0.14,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A000000150722,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015072207ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104007&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000104007,아벤느,아벤느 젠틀 토닝 로션 (본품200ml+100ml 추가 증정),27000,모든피부타입,아벤느온천수아쿠아 향료 하이드로제네이티드스타치하이드롤리세이트 피이지7글리세릴코코에이트 페녹시에탄올 스테아랄코늄헥토라이트 트리소듐이디티에이 정제수,4.7,2988,0.01,0.01,0.04,0.18,0.77,0.24,0.63,0.13,0.3,0.7,0.01,0.78,0.2,0.02
5,A000000141704,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014170421ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146589&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000146589,아비브,아비브 어성초 카밍 토너 스킨부스터,23000,모든 피부용,정제수 약모밀추출물 글리세린 부틸렌글라이콜 펜틸렌글라이콜 자일리톨 비피다발효용해물 소듐하이알루로네이트 돌콩추출물 병풀추출물 하이드롤라이즈드하이알루로닉애씨드 황금추출물 파스향나무잎추출물 인동덩굴꽃추출물 베타인 12헥산다이올 판테놀 에틸헥실글리세린 옥탄다이올 토코페롤 바이오사카라이드검4 다이소듐이디티에이 잔탄검,4.7,1555,0.01,0.0,0.05,0.17,0.76,0.21,0.64,0.15,0.2,0.8,0.01,0.75,0.25,0.01
6,A000000146589,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014658904ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016686&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000016686,아벤느,아벤느 트릭세라 로션 (본품200ml+100ml 추가 증정),33000,민감성 건성,아벤느온천수아쿠아글리세린카프릴릭카프릭트리글리세라이드이소프로필팔미테이트프로필렌글라이콜디카프레이트글리세릴스테아레이트피이지100스테아레이트미레스3미리스테이트토코페릴아세테이트달맞이꽃오일카프릴릴글라이콜글라이신펜틸람노사이드아크릴레이트C1030알킬아크릴레이트크로스폴리머카보머 벤조익애씨드정제수소듐하이드록사이드향료피이지400콩추출물피이지32토코페롤 클로페네신 페녹시에탄올 소듐하이드록사이드,4.7,2337,0.01,0.01,0.05,0.16,0.77,0.51,0.45,0.04,0.84,0.16,0.02,0.75,0.21,0.04
7,A000000161508,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016150808ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161508&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000161508,라운드랩,라운드랩 1025 독도 로션 400ml 대용량,39000,모든 피부용,정제수 글리세린 퀸즈랜드넛오일 12헥산다이올 펜틸렌글라이콜 아이리쉬모스추출물 사탕수수추출물 해수 하이알루로닉애씨드 하이드롤라이즈드하이알루로닉애씨드 소듐하이알루로네이트 판테놀 스쿠알란 부틸렌글라이콜 폴리글리세릴3메틸글루코오스다이스테아레이트 글리세릴스테아레이트 하이드로제네이티드폴리데센 하이드록시에틸아크릴레이트소듐아크릴로일다이메틸타우레이트코폴리머 호호바에스터 카프릴릴글라이콜 트로메타민 소듐파이테이트 토코페롤 소듐카복시메틸베타글루칸 에틸헥실글리세린 세테아릴알코올 카보머,4.8,208,0.01,0.0,0.03,0.12,0.84,0.25,0.61,0.14,0.59,0.41,0.01,0.77,0.19,0.04
8,A000000163499,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016349908ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137627&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000137627,한율,한율 빨간쌀 진액 2종세트,77000,모든피부,스킨 정제수 글리세린 부틸렌글라이콜 베타인 변성알코올 12헥산다이올 나이아신아마이드 폴리글리세린3 피피지13데실테트라데세스24 쌀발효여과물3000 ppm 카보머 트로메타민 닥나무뿌리추출물 향료 글리세릴카프릴레이트 프로판다이올 에틸헥실글리세린 아데노신 다이소듐이디티에이토코페롤  에멀젼 정제수 글리세린 프로판다이올 하이드로제네이티드폴리C614올레핀 하이드로제네이티드폴리아이소부텐 다이아이소스테아릴말레이트 나이아신아마이드 비스하이드록시에톡시프로필다이메티콘 C1422알코올 시어버터 피씨에이다이메티콘 천궁수 왜당귀뿌리수 12헥산다이올 글리세릴스테아레이트시트레이트 글리세릴폴리메타크릴레이트 C1220알킬글루코사이드 부틸렌글라이콜 글리세릴스테아레이트 세테아릴알코올 하이드로제네이티드식물성오일 카보머 쌀발효여과물1500 ppm 향료 스테아릭애씨드 트로메타민 팔미틱애씨드 잔탄검 글리세릴카프릴레이트 에틸헥실글리세린 다이소듐이디티에이 아데노신 덱스트린 카카오추출물 글루코오스 미리스틱애씨드 라우릭애씨드 토코페롤,4.8,405,0.0,0.0,0.02,0.13,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A000000003296,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0000/A00000000329602ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000145578&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000145578,닥터지,닥터지 레드 블레미쉬 포 맨 올인원 플루이드 (본품150ml+30ml 추가 증정),29000,민감 피부  트러블 피부,정제수 나이아신아마이드 아이소도데케인 카프릴릴메티콘 메틸프로판다이올 12헥산다이올 다이프로필렌글라이콜 프로판다이올 글리세린 카프릴릭카프릭트라이글리세라이드 하이드로제네이티드폴리C614올레핀 다이메티콘비닐다이메티콘크로스폴리머 폴리글리세릴2스테아레이트 C1422알코올 C1216알코올 글리세릴스테아레이트 스테아릴알코올 부틸렌글라이콜 아크릴레이트C1030알킬아크릴레이트크로스폴리머 암모늄아크릴로일다이메틸타우레이트브이피코폴리머 C1220알킬글루코사이드 소듐폴리아크릴로일다이메틸타우레이트 하이드로제네이티드레시틴 팔미틱애씨드 소듐하이알루로네이트 아데노신 트로메타민 병풀추출물 호장근뿌리추출물 잔탄검 황금추출물 다이소듐이디티에이 녹차추출물 스페인감초뿌리추출물 마트리카리아꽃추출물 로즈마리잎추출물 글루코오스 글루코노락톤 세라마이드엔피 티트리잎오일 말토덱스트린 마데카소사이드 사카라이드하이드롤리세이트 아보카도열매추출물 아시아티코사이드 아시아틱애씨드 마데카식애씨드 다시마추출물 당느릅나무뿌리추출물 알로에베라잎추출물 참마뿌리추출물 제비꽃꽃추추물,4.7,3933,0.0,0.0,0.04,0.17,0.79,0.16,0.65,0.19,0.4,0.6,0.02,0.67,0.33,0.01
10,A000000010474,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001047403ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000126862&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000126862,에스트라,[증량] 에스트라 테라크네365 하이드레이션 토너 320ml,34000,모든피부,정제수 부틸렌글라이콜 글리세린 녹차추출물 나이아신아마이드 프로판디올페녹시에탄올 잔탄검 에칠헥실글리세린디소듐이디티에이 오렌지추출물자몽추출물 베르 가모트열매추출물 탄제린추출물 락틱애씨드 아스코빅애씨드시트릭애씨드창포추출물,4.7,2306,0.01,0.01,0.04,0.15,0.8,0.24,0.6,0.16,0.39,0.61,0.01,0.79,0.21,0.01
11,A000000159265,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015926501ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156512&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000156512,더마펌,[인보라 PICK] 더마펌 울트라 수딩 토너 R4 200ml (수분진정),30000,모든 피부타입,정제수 부틸렌글라이콜 글리세린 12헥산다이올 버지니아풍년화추출물 트레 할로오스 피이지60하이드로제네이티드캐스터오일 하이드로제네이티드포스파 티딜콜린 알란토인 에틸헥실글리세린 소듐하이알루로네이트 다이소듐이디티 에이 쇠비름추출물 향료 소듐구아이아줄렌설포네이트 테트라소듐이디티에이 들깨잎추출물 병풀추출물 녹두씨추출물 쌀겨추출물 감송향뿌리추출물 글레디 트시아 아우스트랄리스열매추출물 클로브꽃추출물 라케모사승마뿌리추출물 중 국그라운드오키드구근추출물 녹각사씨추출물 아스코빅애씨드 글라이신 세린 알지닌 락토바실러스쌀발효물 카프릴릭카프릭트라이글리세라이드 아스파틱 애씨드 글루타믹애씨드 류신 폴리글리세릴10다이아이소스테아레이트 하이드 로제네이티드레시틴 알라닌 라이신 프롤린 페닐알라닌 발린 트레오닌 카퍼트 라이펩타이드1 아이소류신 타이로신 히스티딘 메나다이온 팔미토일올리고펩 타이드 메티오닌 시스테인,4.8,2045,0.0,0.0,0.0,0.16,0.83,0.27,0.63,0.1,0.31,0.65,0.04,0.87,0.13,0.01
12,A000000104007,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0010/A00000010400720ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000150946&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000150946,넘버즈인,넘버즈인 2번 메이크업 찰떡 토너 200ml,22000,모든 피부 용,온천수 12헥산다이올 메틸프로판다이올 글리세린 나이아신아마이드 솔비톨 부틸렌글라이콜 펜틸렌글라이콜 자일리톨 노니추출물 파파야열매추출물 병풀추출물 호장근뿌리추출물 황금추출물 녹차추출물 스페인감초뿌리추출물 로즈마리잎추출물 마트리카리아꽃추출물 소듐하이알루로네이트크로스폴리머 하이드롤라이즈드하이알루로닉애씨드 하이알루로닉애씨드 하이드롤라이즈드소듐하이알루로네이트 소듐하이알루로네이트 마데카소사이드 하이드록시에틸우레아 살리실릭애씨드 폴리쿼터늄51 폴리글리세릴10라우레이트 하이드록시에틸셀룰로오스 정제수 다이소듐이디티에이 향료,4.6,1709,0.01,0.01,0.06,0.18,0.74,0.36,0.56,0.08,0.76,0.19,0.05,0.6,0.35,0.05
13,A000000151951,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015195107ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148899&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000148899,피지오겔,피지오겔 DMT 에센스 인 토너 200ml,28000,모든피부용,정제수 다이프로필렌글라이콜 글리세린 12헥산다이올 헥실데실에틸헥사노에이트 펜타에리스리틸테트라에틸헥사노에이트 변성알코올 베타인 사이클로펜타실록세인 아크릴레이트C1030알킬아크릴레이트크로스폴리머 트로메타민 다이메티콘 피토스테롤 소듐하이알루로네이트 트라이소듐이디티에이세린 소듐피씨에이 하이드록시에틸우레아 알지닌 카프릴릭카프릭트라이글리세라이드 스쿠알란,4.8,156,0.01,0.01,0.04,0.11,0.84,0.44,0.5,0.06,0.72,0.28,0.01,0.79,0.21,0.01
14,A000000138573,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013857306ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163499&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000163499,라운드랩,라운드랩 포 맨 자작나무 토너/로션 200ml 2종세트 (+미니어처 2종 증정),42000,모든 피부용,1 포 맨 자작나무 토너 200ml정제수 부틸렌글라이콜 글리세린 프로판다이올 다이프로필렌글라이콜 자작나무수액 12헥산다이올 글리세릴글루코사이드 다이포타슘글리시리제이트 알란토인 쇠비름추출물 소듐하이알루로네이트 하이알루로닉애씨드 아스코빅애씨드 감나무잎추출물 포도추출물 호장근뿌리추출물 커피콩추출물 잇꽃꽃추출물 밤껍질추출물 녹차추출물 초피나무열매추출물 글루코노락톤 토코페롤 베타인 잔탄검 글리세릴카프릴레이트 덱스트린 치자추출물 에틸헥실글리세린 다이소듐이디티에이2 포 맨 자작나무 로션 200ml정제수 부틸렌글라이콜 글리세린 아이소노닐아이소노나노에이트 자작나무수액10967ppm 베타인 스쿠알란 하이드로제네이티드폴리C614올레핀 글리세릴글루코사이드 다이포타슘글리시리제이트 알란토인 쇠비름추출물 감나무잎추출물 포도추출물 잇꽃꽃추출물 커피콩추출물 호장근뿌리추출물 밤껍질추출물 초피나무열매추출물 녹차추출물 소듐하이알루로네이트 하이알루로닉애씨드 아스코빅애씨드 치자추출물 토코페롤 에틸헥실글리세린 다이프로필렌글라이콜 세테아릴올리베이트 하이드록시에틸아크릴레이트소듐아크릴로일다이메틸타우레이트코폴리머 솔비탄올리베이트 하이드록시아세토페논 암모늄아크릴로일다이메틸타우레이트브이피코폴리머 카프릴릴글라이콜 솔비탄아이소스테아레이트 덱스트린 글리세릴카프릴레이트 12헥산다이올 다이소듐이디티에이,4.6,18,0.0,0.0,0.17,0.11,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,A000000106421,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0010/A00000010642102ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165624&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000165624,닥터지,닥터지 로얄 블랙 스네일 스페셜 세트 (퍼스트에센스165ml+크림50ml+아이크림10ml+마스크팩1ea),60000,모든 피부용,1 크림 정제수 달팽이점액여과물20 다이프로필렌글라이콜 글리세린 사이클로헥사실록세인 세테아릴알코올 카프릴릭카프릭트라이글리세라이드 트라이에틸헥사노인 나이아신아마이드 하이드로제네이티드폴리데센 하이드로제네이티드폴리아이소부텐 하이드로제네이티드폴리C614올레핀 비즈왁스 12헥산다이올 세테아릴글루코사이드 글라이코실트레할로오스 폴리글리세릴2스테아레이트 비닐다이메티콘 부틸렌글라이콜 글리세릴스테아레이트 팔미틱애씨드 하이드로제네이티드스타치하이드롤리세이트 시어버터 세테아릴올리베이트 솔비탄올리베이트 스테아릴알코올 스테아릭애씨드 카프릴릴글라이콜 참마뿌리추출물 하이드록시에틸아크릴레이트소듐아크릴로일다이메틸타우레이트코폴리머 쇠비름추출물 진흙버섯추출물 병풀추출물 향료 하이드롤라이즈드옥수수전분 알지닌 잔탄검 카보머 하이드로제네이티드레시틴 아데노신 베타글루칸 에틸헥실글리세린 맥아추출물 파이틱애씨드 페네틸알코올 수크로오스 솔비탄아이소스테아레이트 진주가루 트라넥사믹애씨드 말토덱스트린 글루코오스 미리스틱애씨드 펜틸렌글라이콜 하이드롤라이즈드로얄젤리단백질 자이모모나스발효추출물 꿀추출물2 퍼스트에센스달팽이점액여과물75 부틸렌글라이콜 글리세린 12헥산다이올 나이아신아마이드 판테놀 다이페닐다이메티콘 정제수 트라이에틸헥사노인 베타인 말토덱스트린 폴리글리세릴10올리에이트 하이드로제네이티드레시틴 다이소듐이디티에이 아데노신 자이모모나스발효추출물 시어버터 맥아추출물 향료 꿀추출물 소듐하이알루로네이트 페네틸알코올 에틸헥실글리세린 하이드롤라이즈드로얄젤리단백질3 아이크림정제수 달팽이점액여과물25 글리세린 다이펜타에리스리틸헥사C59애씨드에스터 카프릴릭카프릭트라이글리세라이드 C1422알코올 시어버터 말토덱스트린 메틸글루세스20 12헥산다이올 다이프로필렌글라이콜 비닐다이메티콘 세테아릴알코올 C1220알킬글루코사이드 비즈왁스 판테놀 팔미틱애씨드 에틸헥실올리베이트 스테아릭애씨드 부틸렌글라이콜 카프릴릴글라이콜 하이드로제네이티드레시틴 소듐아크릴레이트코폴리머 알지닌 카보머 참마뿌리추출물 잔탄검 폴리글리세릴10올리에이트 폴리글리세릴4올리에이트 글리세릴아크릴레이트아크릴릭애씨드코폴리머 향료 아데노신 파이틱애씨드 하이드롤라이즈드옥수수전분 에틸헥실글리세린 체이스트트리추출물 베타글루칸 페네틸알코올 맥아추출물 수크로오스 글루코오스 판토락톤 소듐하이알루로네이트 하이드롤라이즈드로얄젤리단백질 자이모모나스발효추출물 소듐하이알루로네이트크로스폴리머 포타슘하이알루로네이트 하이드록시프로필트라이모늄하이알루로네이트 하이드롤라이즈드소듐하이알루로네이트 하이드롤라이즈드하이알루로닉애씨드 하이알루로닉애씨드 꿀추출물 소듐아세틸레이티드하이알루로네이트4 마스크팩 정제수 달팽이점액여과물 글리세린 다이프로필렌글라이콜 코코카프릴레이트카프레이트 세틸에틸헥사노에이트 나이아신아마이드 폴리글리세릴3다이스테아레이트 호호바에스터 12헥산다이올 글리세릴스테아레이트 세테아릴알코올 암모늄아크릴로일다이메틸타우레이트브이피코폴리머 팔미틱애씨드 스테아릭애씨드 하이드록시에틸아크릴레이트소듐아크릴로일다이메틸타우레이트코폴리머 소듐폴리아크릴레이트 클로페네신 글리세릴스테아레이트시트레이트 알란토인 잔탄검 병풀추출물 말토덱스트린 향료 쇠비름추출물 에틸헥실글리세린 아데노신 부틸렌글라이콜 다이소듐이디티에이 카카오추출물 시어버터 솔비탄아이소스테아레이트 진흙버섯추출물 트라넥사믹애씨드 미리스틱애씨드 자이모모나스발효추출물 하이드로제네이티드레시틴 진주가루 토코페롤 페네틸알코올 꿀추출물 하이드롤라이즈드로얄젤리단백질,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,A000000163655,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016365508ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163714&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000163714,브링그린,브링그린 티트리시카수딩토너&크림 기프트세트,29000,모든 피부 타입,티트리시카수딩토너  티트리추출물 정제수 부틸렌글라이콜 다이프로필렌글라이콜 병풀추출물 펜틸렌글라이콜 티트리꽃잎줄기추출물 티트리잎오일 베타인 판테놀 콜레스24 소듐시트레이트 시트릭애씨드 에틸헥실글리세린 베타인살리실레이트 토코페롤 잔탄검 티트리시카수딩크림  정제수 티트리추출물 병풀추출물 부틸렌글라이콜 스쿠알란 프로판다이올 펜틸렌글라이콜 나이아신아마이드 12헥산다이올 폴리글리세릴3메틸글루코오스다이스테아레이트 티트리꽃잎줄기추출물 티트리잎오일 판테놀 폴리메틸실세스퀴옥세인 아크릴레이트C1030알킬아크릴레이트크로스폴리머 트로메타민 다이글리세린 에틸헥실글리세린 마데카소사이드 소듐카보머,3.8,5,0.2,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
