"user_id","rcp_sno","rating"
41,4354858,1
34,6855473,2
45,6832398,3
100,6879215,1
53,6851792,3
51,2302505,3
37,6845113,2
45,6869294,2
59,4790224,1
48,4692874,1
53,6861789,2
64,6868263,2
48,6902005,3
16,6864449,2
63,6876505,1
64,6834647,1
41,1615598,1
63,4692874,2
100,6873646,2
52,6833221,1
43,5677464,2
31,6728249,3
34,6884021,1
100,6876644,2
37,6938933,1
69,6864727,2
31,6846093,3
43,6868912,2
51,6829169,1
4,6898774,1
80,6866213,2
34,6886299,1
2,6864660,1
2,6868263,3
43,6506379,2
10,6886299,2
51,5487907,2
15,6882709,2
34,6865491,2
28,6844849,2
53,6873646,2
41,6829733,3
34,6833247,2
64,6877228,2
91,5914483,2
28,1850302,2
10,3893242,2
53,5747066,2
43,4380935,2
100,6871038,1
31,6850289,3
80,6870309,2
64,6886559,2
51,5475624,2
28,5821585,1
34,6865054,1
91,6875670,3
48,6868654,3
59,5437319,2
28,6882709,3
51,6902206,2
51,6841304,2
10,6879215,2
48,6857364,1
48,1747075,1
41,6837621,1
41,6871892,2
45,6869009,2
59,6861789,1
41,6895911,2
91,4545047,1
28,4545047,2
28,6746224,2
38,4533837,2
31,6862570,2
15,6861803,2
43,6856443,1
64,6832503,2
41,6872279,1
57,6851509,2
45,6922868,1
28,6938933,1
34,6836329,3
80,6835094,2
2,2333318,2
63,6891424,2
58,6834901,1
4,6880795,2
38,4538467,1
16,6869296,2
52,6838833,2
31,1850302,2
43,4020569,2
10,6872290,1
34,5398809,2
38,4388540,2
10,1034416,1
34,6834922,3
91,4678588,2
64,6879196,3
2,6880451,2
35,6749266,2
80,6875417,2
2,6909518,2
48,6839845,2
59,6834869,2
80,4692874,2
28,6853413,2
35,6885145,2
91,6764735,2
91,4771305,2
34,6853697,2
58,6837961,2
58,6876644,1
51,6872279,2
37,5475624,1
69,6837961,1
51,6851008,2
91,6833247,1
63,5914483,2
100,6728249,1
10,6846093,3
80,6882709,2
91,6900475,3
57,6845113,2
2,6843373,1
28,6908260,1
15,6835094,2
51,6834037,2
59,5475624,2
31,6853699,2
53,5671427,1
4,6834869,2
48,6851184,2
51,6858779,1
35,6878247,2
63,6855473,1
34,6875555,2
2,6861789,2
64,5475624,2
34,4020569,2
91,6855473,2
10,6854979,1
63,6885145,2
38,6835711,1
28,2333318,2
52,4139783,2
10,4538448,1
59,6880578,1
45,6875670,1
37,6889485,1
53,6858779,1
52,6832398,2
16,6841538,1
100,4559006,2
57,4533837,2
63,6861789,1
16,2333318,1
80,6851969,2
43,6868118,1
41,6859638,2
69,6886644,3
91,6841312,2
91,6875325,1
57,6733126,2
63,6858779,2
4,6879113,1
100,6839434,2
51,6894685,2
16,4371757,2
31,6829733,1
16,6506379,2
48,6886644,2
63,6876644,2
16,2395976,2
35,6926400,2
52,6871097,3
69,4643319,3
58,6884459,2
69,6844849,1
69,6882709,2
4,3210231,2
34,6894123,2
64,6908260,2
37,6733126,2
64,6833682,2
91,5725691,1
45,6858779,2
48,6871862,3
51,2004594,2
52,5352616,2
10,6870174,1
4,6871097,2
63,6865006,2
43,3604332,2
51,6894123,2
28,6864038,2
48,6878071,1
15,6899457,1
100,6885145,2
69,6838094,1
15,6829286,3
64,4023267,2
57,4596745,3
57,5123985,2
64,4231264,2
69,5816092,1
35,6850289,3
2,6864038,1
59,6840549,1
58,4354858,2
2,6865062,2
53,6851661,2
53,6841304,2
38,4081528,2
63,5439479,2
10,5405180,2
45,4397532,1
100,6858534,1
63,6860550,1
53,4555111,3
2,5747066,3
64,6875325,2
31,6915839,3
58,1615598,2
52,6879004,1
37,6875417,2
45,6879113,2
53,5687272,2
10,6880871,1
53,4538467,1
15,6908260,2
53,6877825,2
48,6865491,1
28,6856832,2
10,6861803,1
100,6891886,2
69,6834647,3
59,5125615,2
64,5894905,2
57,6841208,2
34,6885265,1
2,6893869,2
91,5747066,2
51,4533837,1
57,4678588,1
31,3210231,1
4,6900932,2
58,6880871,1
16,6884433,2
45,6852194,2
41,6875670,1
31,6902206,2
52,6870922,1
91,6870940,1
4,6851969,1
16,6839858,1
80,6905012,1
91,4883640,3
45,6873683,2
4,6864727,2
34,6840529,2
28,6868263,2
16,6845113,1
16,6881010,2
51,6851792,1
48,6855343,1
92,6689884,2
88,6904241,2
75,5744804,2
79,6870442,2
96,6838863,1
88,6097081,1
96,5581782,2
92,6911025,2
92,6861649,2
62,6642982,3
92,6881990,3
75,6881250,2
92,6845428,1
92,6873881,1
96,6723360,3
75,6854548,1
79,1924083,2
62,6877593,1
66,6872681,2
98,4521122,1
92,3211467,1
62,6901583,2
92,6839082,2
92,5100032,1
66,6884469,1
79,6850026,1
62,6850809,2
92,6875076,3
88,6874961,3
62,6901275,1
92,5817718,1
75,6875564,2
75,6875154,2
62,6911795,1
75,6877798,1
88,6897988,2
66,6903941,2
98,6603655,2
62,4354821,1
79,4548329,2
66,6869407,2
96,4096439,2
88,6723360,2
66,6854461,2
88,6832694,2
75,6864784,1
88,6875154,1
79,6843483,1
98,4361779,1
92,6892456,1
79,6892450,2
79,6865374,2
96,6879898,2
92,6861312,1
92,6846695,2
66,6868658,3
98,6902207,2
98,6884297,2
92,6858030,2
62,4426115,2
92,4642178,2
96,6884352,2
96,4828097,1
88,6891527,2
98,6877012,2
98,3211467,2
75,6870516,2
98,6854448,2
66,6855500,2
88,1002689,2
66,6853683,2
75,2357288,1
96,6879242,1
88,6903277,2
92,6900734,1
92,6839455,2
79,3750554,3
79,6871833,1
92,6877012,1
92,6886754,1
98,6832645,3
79,6679052,2
62,6872906,1
66,4044032,2
75,6907497,2
98,6866135,2
88,6850823,3
66,4713630,2
75,3993753,1
66,6871820,2
79,6899874,1
79,6884352,2
66,6859715,2
66,6882004,1
98,6869289,2
96,4554802,2
88,6843071,2
66,6842700,2
3,6865741,1
59,4810471,2
64,6891707,2
29,6859394,2
75,1883972,2
59,6869916,1
26,6887142,2
33,6844208,2
40,6873196,2
64,5400888,2
32,6874560,2
26,6856298,2
19,6887945,1
59,6832020,3
16,6872275,3
32,6865595,1
62,5725904,2
39,6873941,1
3,4687984,2
33,3832717,1
26,6852791,1
33,6865492,3
64,6870013,3
26,3008505,1
59,6885111,1
20,3897641,2
29,6876003,3
79,6728143,2
59,6873226,1
64,6899911,1
16,705313,1
26,5400888,2
19,6873179,1
3,6837968,3
19,6885314,1
49,5400888,2
16,6854799,2
74,6881146,2
26,6922590,2
40,6728143,1
74,6855088,3
3,6854799,3
79,6890300,1
62,6835344,3
32,1773282,2
29,6897374,1
74,6890300,2
20,6862176,1
75,6850957,2
74,6876875,2
29,6880798,1
79,6844500,2
49,6850087,1
49,6844208,2
59,6854537,2
64,6844500,2
79,4781363,2
29,6856771,1
40,6880952,2
49,6869916,2
16,6883937,2
39,6858590,1
44,6859394,2
40,6839423,1
49,6882107,1
32,6869080,2
79,3392979,1
20,6907034,1
29,6809009,1
32,6948608,1
3,6862176,1
3,6894612,3
40,5405250,2
33,3008505,1
79,6922590,2
33,4563041,1
62,1629578,2
64,3522952,3
49,6874103,3
26,6835957,1
79,6854108,2
74,6832617,2
40,6890373,2
29,6865741,2
3,6844208,2
33,6879332,2
20,6886387,2
26,6881146,2
32,6872902,2
29,6831310,2
16,6835660,2
