"rcp_sno","ckg_nm","inq_cnt","rcmm_cnt","srap_cnt","ckg_mth_acto_nm","ckg_sta_acto_nm","ckg_knd_acto_nm","ckg_mtrl_acto_nm","ckg_mtrl_cn","ckg_inbun_nm","ckg_dodf_nm","ckg_time_nm"
6841807,크림리조또,99955,"48","5898",끓이기,일상,밥/죽/떡,쌀,[재료] 밥 2공기| 양파 1개| 버섯 1줌| 베이컨 6줄| 우유 400ml [양념] 소금 적당량| 후추 적당량| 버터 2큰술| 다진마늘 1큰술,"2인분",초급,"60분이내"
6841817,부추겉절이,138285,"39","673",무침,일상,김치/젓갈/장류,채소류,[재료] 부추 1단| 양파 1개| 통깨 약간 [양념] 간장 7T| 고춧가루 4T| 식초 5T| 설탕 2T| 다진마늘 1T| 매실액 1T,"2인분",아무나,"15분이내"
6841844,오이피클,127263,"49","949",절임,일상,밑반찬,채소류,[재료] 오이(피클용)| 당근| 무| 파프리카| 땡초 [양념] 설탕 2.5컵(종이컵)| 식초 2.5컵(종이컵)| 소금 1T| 후추(피클링스파이스) 1t| 계피가루 1t,"6인분이상",아무나,"30분이내"
6841877,연어덮밥,77751,"72","3037",비빔,영양식,밥/죽/떡,해물류,[재료] 생연어 150g| 양파 1/2개| 다진마늘 1T| 와사비 적당히 [양념] 가쯔오장국 3T| 설탕 1T| 생수 5T| 식초 1/2T,"1인분",아무나,"15분이내"
6841883,소세지야채볶음,57233,"39","1537",볶음,일상,메인반찬,가공식품류,[재료] 비엔나 소세지 30개| 양파 1/2개| 당근 1/3개| 브로콜리 약간 [양념] 케첩 3큰술| 굴소스 1큰술| 올리고당 1큰술| 핫소스 1큰술| 설탕 1큰술,"2인분",아무나,"15분이내"
6841897,닭한마리,64854,"48","1889",끓이기,일상,국/탕,닭고기,[재료] 닭| 통마늘| 통후추| 표고버섯| 알배추| 대파| 무| 부추| 칼국수사리면| 소주 1/2컵| 양파 1/2개| 감자 2개 [양념] 진간장 4큰술| 식초 2큰술| 설탕 1큰술| 연겨자 1큰술| 고추가루 2큰술| 물 2큰술| 멸치액젓 2큰술| 소금 약간| 후춧가루 약간,"3인분",초급,"60분이내"
6841899,미역초무침,79308,"23","414",무침,일상,밑반찬,해물류,[재료] 미역| 양파 1/2개| 당근 1/5개| 배 1/4개 [양념] 고추장 2T| 간장 1T| 레몬즙 2T| 고추가루 1T| 설탕 1T| 매실액 1T| 마늘 1/2T| 깨 1T| 식초 2T,"2인분",아무나,"30분이내"
6841996,계란삶는법,385065,"13","239",삶기,일상,기타,달걀/유제품,[재료] 계란 5~7알| 소금 1/2스푼| 식초 1스푼,"3인분",아무나,"15분이내"
6842037,소세지찌개,65653,"6","96",끓이기,일상,찌개,가공식품류,[재료] 소세지 300g| 두부 1/4모| 느타리버섯 1줌| 팽이버섯 1줌| 양파 1/2개| 방울토마토 8개| 대파 1대| 쌀뜨물+육수 4컵이상| 양념장 적당량 [양념] 다진마늘 1큰술이상| 고춧가루 2큰술| 국간장 1/2큰술| 생강가루 1/2작은술| 후추 약간,"4인분",초급,"30분이내"
6842038,토마토카프레제,84490,"76","3183",기타,손님접대,샐러드,채소류,[재료] 토마토 2개| 모짜렐라 치즈 300-400g| 발사믹소스 1큰수저| 파슬리 조금,"2인분",아무나,"15분이내"
6842041,부대찌개,722064,"1168","26233",끓이기,일상,찌개,가공식품류,[재료] 길쭉이 햄 6줄| 통조림 햄 작은사이즈 1/2통| 돈다짐육(or 베이컨이나 대패삼겹살) 1줌| 김치 1줌| 양파 1/2개| 대파 1-2대| 다진마늘 듬뿍| 체다치즈 1장| 사골국물 1팩 [양념] 고추가루 2T| 고추장 1T| 간장 2T| 맛술 1T| 후추 약간,"2인분",아무나,"30분이내"
6842043,까르보나라떡볶이,74415,"45","4279",볶음,일상,밥/죽/떡,달걀/유제품,[재료] 떡국떡 1국그릇| 양파 1개| 마늘 5-6개| 베이컨 1팩| 우유 300ml [양념] 버터 1큰수저| 밀가루 1큰수저| 소금 조금| 후추 조금,"2인분",초급,"60분이내"
6842067,햄고추장찌개,70943,"23","2999",끓이기,일상,찌개,가공식품류,[재료] 스팸 200g| 감자 1개| 애호박 1/4개| 양파 1/2개| 홍고추 1/2개| 청양고추 1개| 대파 1/2개| 두부 1/2모 [양념] 고춧가루 1/2T| 마늘 1/2T| 고추장 1.5~2스푼| 소금 약간,"3인분",아무나,"30분이내"
6842076,햄치즈샌드위치,75898,"72","1435",굽기,초스피드,빵,가공식품류,[재료] 식빵 1장| 슬라이스햄 또는 스팸 1~2조각| 계란 1개| 슬라이스치즈 1장 [양념] 버터 1/2큰술| 후추 약간,"1인분",아무나,"15분이내"
6842083,알배추겉절이,57266,"48","1610",무침,일상,김치/젓갈/장류,채소류,[재료] 알배추| 당근| 대파 [양념] 고춧가루 2스푼| 멸간장 2스푼| 새우젓 1스푼| 매실액기스 2스푼| 다진마늘 1스푼반| 깨,"4인분",아무나,"30분이내"
6842096,무청시래기된장국,165777,"57","3112",끓이기,일상,국/탕,채소류,[재료] 시래기 200g| 대파 1뿌리| 청양고추 2개| 물 1컵| 쌀뜨물 1컵| 곰국국물(혹은 멸치다시마육수) 1컵 [양념] 된장 2스푼| 국간장 1스푼| 마늘 1/2스푼| 고추가루 1/2스푼| 참기름이나 들기름 1스푼,"4인분",초급,"60분이내"
6842110,김구이,179088,"127","13900",굽기,일상,밑반찬,채소류,[재료] 달래 1/2줌| 홍고추 1/2개| 구운김 적당량 [양념] 간장 10T| 참기름 1T| 깨 1T| 매실청 3T| 마늘 1/2T| 고추가루 1T,"4인분",아무나,"15분이내"
6842127,살사소스,75890,"20","731",무침,초스피드,양념/소스/잼,채소류,[재료] 토마토 1/2개| 양파 1/2개| 청양고추 1큰술 [양념] 설탕 1/3큰술| 소금 1/2큰술| 식초 1큰술| 레몬즙 1/2큰술,"2인분",아무나,"30분이내"
6842134,소고기숙주볶음덮밥,58942,"153","2499",볶음,초스피드,밥/죽/떡,소고기,[재료] 소고기 300g| 숙주나물 1봉지| 쪽파 4~5줄기 [양념] 다진 마늘 1큰술| 굴소스 1+1/2큰술| 고추기름 1큰술| 소금 약간| 후추가루 약간,"2인분",초급,"15분이내"
6842164,소고기숙주볶음,75278,"143","2031",볶음,초스피드,메인반찬,소고기,[재료] 소고기| 숙주| 대파 [밑간] 미림 1스푼| 후추 약간| 마늘 1/2스푼 [양념] 굴소스 2스푼,"2인분",초급,"30분이내"
6842183,간장새우장,73992,"30","619",절임,일상,김치/젓갈/장류,해물류,[재료] 냉동새우| 고추 2개| 마늘 5-6톨 [양념] 간장 200ml| 물 300ml| 설탕 2T| 맛술 살짝,"2인분",초급,"30분이내"
6842185,베이컨말이주먹밥,57262,"47","2110",굽기,일상,밥/죽/떡,가공식품류,[재료] 베이컨 4줄| 체다치즈 3장| 밥 1그릇| 깨 1/2숟갈| 참기름 1/2숟갈,"1인분",아무나,"10분이내"
6842258,계란감자샌드위치,135013,"29","682",삶기,간식,빵,밀가루,[재료] 식빵 18장| 오이 1개| 햄 1/2개| 피클 조금| 양파 1개| 계란 3개| 당근 1/3개| 감자 2개| 마요네즈 1컵| 머스타드 2스푼| 설탕 2스푼| 소금 1/3스푼,"4인분",아무나,"60분이내"
