,title,book_id,author,publisher,price,review_cnt,review_score,pub_year,country,weighted_vote
0,작별인사,292816855,김영하,복복서가,"12,600",27.0,4.5, 2022년 5월,한국,4.4185678571428575
1,애쓰지 않아도,293773169,최은영,마음산책,"13,050",10.0,4.5, 2022년 4월,한국,4.292718181818182
2,불편한 편의점,290457417,김호연,나무옆의자,"12,600",64.0,4.0, 2021년 4월,한국,3.9726138461538465
3,2022 제13회 젊은작가상 수상작품집,292067158,임솔아,문학동네,"6,930",42.0,4.0, 2022년 4월,한국,3.958602325581395
4,책들의 부엌,294030893,김지혜,팩토리나인,"13,050",40.0,5.0, 2022년 5월,한국,4.932192682926829
5,저주토끼,290846875,정보라,아작,"13,320",37.0,4.0, 2022년 4월,한국,3.953155263157895
6,언제나 밤인 세계,56869296,하지은,황금가지,"15,120",1.0,5.0, 2022년 4월,한국,3.60995
7,지구 끝의 온실,276926308,김초엽,자이언트북스,"13,500",132.0,4.5, 2021년 8월,한국,4.482856390977443
8,"어서 오세요, 휴남동 서점입니다",286859586,황보름,클레이하우스,"13,500",71.0,4.5, 2022년 1월,한국,4.4683319444444445
9,"칵테일, 러브, 좀비",237368570,조예은,안전가옥,"9,000",80.0,4.5, 2020년 4월,한국,4.471850617283951
10,밝은 밤,275419192,최은영,문학동네,"13,050",260.0,5.0, 2021년 7월,한국,4.989348275862068
11,달러구트 꿈 백화점 2,275874708,이미예,팩토리나인,"12,420",109.0,4.5, 2021년 7월,한국,4.479271818181818
12,달러구트 꿈 백화점,245127051,이미예,팩토리나인,"12,420",379.0,4.0, 2020년 7월,한국,3.9953155263157893
13,마음에 없는 소리,290202593,김지연,문학동네,"13,050",13.0,5.0, 2022년 3월,한국,4.8014214285714285
14,우리가 빛의 속도로 갈 수 없다면,193591681,김초엽,허블,"12,600",369.0,4.5, 2019년 6월,한국,4.493837567567568
15,아몬드,105651245,손원평,창비,"10,800",332.0,4.5, 2017년 3월,한국,4.493152852852853
16,마법소녀 은퇴합니다,292506405,박서련,창비,"12,600",7.0,5.0, 2022년 4월,한국,4.6524875
