,title,book_id,author,publisher,price,review_cnt,review_score,pub_year,country
0,작별인사,292816855,김영하,복복서가,"12,600",27,4.5, 2022년 5월,한국
1,애쓰지 않아도,293773169,최은영,마음산책,"13,050",10,4.5, 2022년 4월,한국
2,불편한 편의점,290457417,김호연,나무옆의자,"12,600",64,4, 2021년 4월,한국
3,2022 제13회 젊은작가상 수상작품집,292067158,임솔아,문학동네,"6,930",42,4, 2022년 4월,한국
4,책들의 부엌,294030893,김지혜,팩토리나인,"13,050",40,5, 2022년 5월,한국
5,저주토끼,290846875,정보라,아작,"13,320",37,4, 2022년 4월,한국
6,언제나 밤인 세계,56869296,하지은,황금가지,"15,120",1,5, 2022년 4월,한국
7,지구 끝의 온실,276926308,김초엽,자이언트북스,"13,500",132,4.5, 2021년 8월,한국
8,"어서 오세요, 휴남동 서점입니다",286859586,황보름,클레이하우스,"13,500",71,4.5, 2022년 1월,한국
9,"칵테일, 러브, 좀비",237368570,조예은,안전가옥,"9,000",80,4.5, 2020년 4월,한국
10,밝은 밤,275419192,최은영,문학동네,"13,050",260,5, 2021년 7월,한국
11,달러구트 꿈 백화점 2,275874708,이미예,팩토리나인,"12,420",109,4.5, 2021년 7월,한국
12,달러구트 꿈 백화점,245127051,이미예,팩토리나인,"12,420",379,4, 2020년 7월,한국
13,마음에 없는 소리,290202593,김지연,문학동네,"13,050",13,5, 2022년 3월,한국
14,우리가 빛의 속도로 갈 수 없다면,193591681,김초엽,허블,"12,600",369,4.5, 2019년 6월,한국
15,아몬드,105651245,손원평,창비,"10,800",332,4.5, 2017년 3월,한국
16,마법소녀 은퇴합니다,292506405,박서련,창비,"12,600",7,5, 2022년 4월,한국
17,소년이 온다,40869703,한강,창비,"12,600",671,5, 2014년 5월,한국
18,구의 증명,55275051,최진영,은행나무,"7,200",58,4.5, 2015년 3월,한국
19,스마일,292480068,김중혁,문학과지성사,"12,600",2,5, 2022년 4월,한국
20,모순,25843736,양귀자,쓰다,"11,700",88,4.5, 2013년 4월,한국
22,…스크롤!,294448851,정지돈,민음사,"12,600",null,null, 2022년 5월,한국
23,천 개의 파랑,248956900,천선란,허블,"12,600",143,4.5, 2020년 8월,한국
24,안녕 주정뱅이,291689954,권여선,창비,"12,150",117,4.5, 2016년 5월,한국
25,유령의 마음으로,291546056,임선우,민음사,"11,700",10,5, 2022년 3월,한국
26,재와 물거품,272568192,김청귤,안전가옥,"9,000",22,4.5, 2021년 5월,한국
27,소설 보다 : 봄 2022,291779377,김병운,문학과지성사,"3,150",3,4.5, 2022년 3월,한국
28,우리의 밤이 시작되는 곳,294240793,고요한,나무옆의자,"11,700",null,null, 2022년 5월,한국
29,방금 떠나온 세계,281702287,김초엽,한겨레출판,"13,500",65,4.5, 2021년 10월,한국
30,망원동 브라더스,28145037,김호연,나무옆의자,"11,700",40,4.5, 2013년 7월,한국
31,원미동 사람들,21874073,양귀자,쓰다,"11,700",43,4.5, 2012년 12월,한국
32,작별하지 않는다,284254515,한강,문학동네,"12,600",125,4.5, 2021년 9월,한국
33,완전한 행복,272252933,정유정,은행나무,"14,220",354,4, 2021년 6월,한국
34,피프티 피플,277214767,정세랑,창비,"12,600",6,5, 2021년 8월,한국
35,난장이가 쏘아올린 작은 공,241650,조세희,이성과힘,"9,900",355,4.5, 2000년 7월,한국
36,대도시의 사랑법,195439115,박상영,창비,"12,600",210,4, 2019년 6월,한국
37,우주섬 사비의 기묘한 탄도학,294254056,배명훈,자이언트북스,"13,320",1,5, 2022년 5월,한국
38,살인자의 쇼핑목록,293814774,강지영,네오픽션,"12,600",1,5, 2022년 5월,한국
39,"시선으로부터,",241313700,정세랑,문학동네,"12,600",208,4.5, 2020년 6월,한국
40,바깥은 여름,111454737,김애란,문학동네,"11,700",378,4.5, 2017년 6월,한국
41,페인트,219471296,이희영,창비,"10,800",16,4.5, 2019년 11월,한국
42,나는 소망한다 내게 금지된 것을,189365205,양귀자,쓰다,"13,500",39,5, 2019년 4월,한국
43,전지적 독자 시점 Part 1 01,287281261,싱숑,비채,"12,150",23,5, 2022년 1월,한국
44,종의 기원,74920934,정유정,은행나무,"11,700",610,4, 2016년 5월,한국
45,쇼코의 미소,86799537,최은영,문학동네,"10,800",357,4.5, 2016년 7월,한국
46,전지적 독자 시점 Part 1 : 제4의 벽 에디션 세트 - 전8권,285291798,싱숑,비채,"115,200",428,4, 2022년 1월,한국
47,나인,282188797,천선란,창비,"13,500",208,5, 2021년 11월,한국
48,땀 흘리는 소설,185703957,김혜진,창비교육,"13,500",23,4.5, 2019년 3월,한국
49,눈사람 자살 사건,186384394,최승호,달아실,"11,700",5,4, 2019년 3월,한국
50,헬프 미 시스터,290621132,이서수,은행나무,"13,500",47,5, 2022년 3월,한국
51,우리가 다리를 건널 때,293693552,문지혁,다산책방,"12,600",19,4.5, 2022년 4월,한국
52,회색 인간,127608044,김동식,요다,"11,700",106,4, 2017년 12월,한국
53,채식주의자,291370219,한강,창비,"13,500",4,4, 2022년 3월,한국
54,초월하는 세계의 사랑,291935053,우다영,허블,"11,700",21,5, 2022년 4월,한국
55,좀비즈 어웨이,292100766,배예람,안전가옥,"9,000",19,5, 2022년 3월,한국
56,지구에서 한아뿐,198048203,정세랑,난다,"11,700",190,4, 2019년 7월,한국
57,다섯 번째 감각,287367114,김보영,아작,"16,200",14,4.5, 2022년 2월,한국
58,살인자의 기억법,249404000,김영하,복복서가,"9,000",14,4.5, 2020년 8월,한국
59,전지적 독자 시점 Part 1 02,287281385,싱숑,비채,"12,150",4,5, 2022년 1월,한국
60,전지적 독자 시점 Part 1 06,287281548,싱숑,비채,"12,150",3,4.5, 2022년 1월,한국
61,기이현상청 사건일지,293715746,이산화,안전가옥,"11,700",1,4, 2022년 4월,한국
62,욕조가 놓인 방,292582619,이승우,작가정신,"11,700",21,4.5, 2022년 4월,한국
63,세계를 건너 너에게 갈게,256118133,이꽃님,문학동네,"11,700",5,5, 2020년 11월,한국
64,가짜 모범생,280895914,손현주,특별한서재,"10,800",48,5, 2021년 10월,한국
65,전지적 독자 시점 Part 1 07,287281670,싱숑,비채,"12,150",6,5, 2022년 1월,한국
66,전지적 독자 시점 Part 1 03,287281409,싱숑,비채,"12,150",3,4.5, 2022년 1월,한국
67,전지적 독자 시점 Part 1 04,287281486,싱숑,비채,"12,150",3,4.5, 2022년 1월,한국
68,빵 좋아하는 악당들의 행성,291686860,곽재식,비채,"13,320",20,4.5, 2022년 3월,한국
69,행성어 서점,282199385,김초엽,마음산책,"13,050",43,4.5, 2021년 11월,한국
70,"재인, 재욱, 재훈",278027056,정세랑,은행나무,"7,200",178,5, 2021년 9월,한국
71,아가미,139258912,구병모,위즈덤하우스,"11,700",96,4, 2018년 3월,한국
72,2022년 제45회 이상문학상 작품집,287161284,손보미,문학사상,"13,950",16,4.5, 2022년 1월,한국
73,백의 그림자,287791901,황정은,창비,"13,500",20,4.5, 2022년 2월,한국
74,홍학의 자리,275879438,정해연,엘릭시르,"12,600",70,4, 2021년 7월,한국
75,전지적 독자 시점 Part 1 05,287281514,싱숑,비채,"12,150",4,5, 2022년 1월,한국
76,전지적 독자 시점 Part 1 08,287281759,싱숑,비채,"12,150",12,5, 2022년 1월,한국
77,그 많던 싱아는 누가 다 먹었을까,260678235,박완서,웅진지식하우스,"11,700",31,5, 2021년 1월,한국
78,아무도 아닌,256131144,황정은,문학동네,"10,800",113,4.5, 2016년 11월,한국
79,나나,280535894,이희영,창비,"11,700",146,5, 2021년 10월,한국
80,해설과 함께 읽는 치숙 / 붉은 산 외,169371642,전도현,서연비람,"10,800",null,null, 2018년 10월,한국
81,1차원이 되고 싶어,280318207,박상영,문학동네,"13,320",59,4.5, 2021년 10월,한국
82,목소리를 드릴게요,222461169,정세랑,아작,"13,320",144,4.5, 2020년 1월,한국
83,오로라 상회의 집사들,293785158,이경란,은행나무,"12,600",4,5, 2022년 4월,한국
84,시체가 너무 많다,294377595,박하루,엘릭시르,"13,320",null,null, 2022년 5월,한국
85,소마,294426595,채사장,웨일북,"13,500",1,4, 2021년 12월,한국
86,여름의 빌라,244899880,백수린,문학동네,"12,150",60,4.5, 2020년 7월,한국
87,파과,142244075,구병모,위즈덤하우스,"12,600",86,4.5, 2018년 4월,한국
88,해가 지는 곳으로,112811885,최진영,민음사,"11,700",80,4, 2017년 6월,한국
