genres,release_date,metascore,developer,publisher,userscore,rating,summary,title
Action Adventure|Modern|General|Modern|,"Sep  6, 2006",28,Enlight Software,Aspyr,7.0,M,"From the demented and brilliant mind of American McGee, renowned for his artistically extraordinary vision embodied by ""American McGee's Alice"", comes American McGee Presents: Bad Day L.A., a third-person action/adventure game with a tongue-in-cheek comedic twist. Set in modern day Los Angeles, Bad Day L.A. combines a fantastical art style, groundbreaking collaborative gameplay elements and a heavy dose of dark satire to create a truly unforgettable experience. In Bad Day L.A., players are thrust behind the shopping cart of a homeless man turned city-saving crusader, Anthony Williams, a reluctant hero who left behind the privileged life of a successful Hollywood agent after losing his self-respect. Anthony survives in his cocoon of destitution and isolation until Los Angeles comes under attack from zombies, terrorists, earthquakes and other untold disasters. Facing complete annihilation, Anthony is reluctantly forced to begin a cynical quest for salvation. Using only his street smarts and the environment to stay alive, he must save the very city and its citizens he despises, and, in the end, escape what has become a very Bad Day in L.A. [Enlight Software]",American McGee Presents Bad Day LA
Action|Shooter|Shooter|First-Person|Modern|Modern|Arcade|,"Feb 26, 2007",27,T7 Games,DreamCatcher Interactive,3.1,M,"Terrorists stole a nuclear-tipped missile and plan to blast away one of Europe's’ largest city: LONDON!The missiles short range is a problem, but money is not, and the terrorists find an accomplice, Ilya Rakov, son of a Russian billionaire and arms dealer. Aleksandr Rakov. Ilya agrees to supply the terrorists with a ship that will bring the missile within range of London. He also agrees to hunt down the only two people who are capable of foiling the plot: Steve and Sandy Fletcher. Steve and his sister Sandy are officers in the US Marine Corps. Aleksandr Rakov is horrified by his son‘s plan. Unable to take direct action, he hires the elite mercenary Austin Hawke to protect and assist Fletch. [JoWood Productions]",The Mark
Historic|Historic|Strategy|Action Adventure|Real-Time|Open-World|General|,"Jan 30, 2015",27,Reality Pump,TopWare Interactive,3.4,None,"I started this game expecting **** I was pleasantly surprised when It was GOTY, 10/10 Would play again.The main character is really  gruff and tough, and the story is so good, you will **** your pants!",Raven's Cry
Strategy|Real-Time|General|General|Command|,"Feb 14, 2001",27,Techland,EON Digital Entertainment,6.1,T, this was one of the hardest games that i have ever played and the tutorial took me less than 3 minutes to find the guy. they tell you right where you should look for him.,Mission: Humanity
Action Adventure|General|,"Mar 21, 2017",27,Spiral House Ltd.,Maximum Games,4.2,T,"Deep in the Nordic wilderness, a teenage boy named Otto is forced to flee his home after a band of brutal hunters rip through his village in search of a mythical creature rumored to inhabit the forest. Now on the run for his life, Otto inadvertently finds and befriends the elusive creature",Troll and I
Driving|Demolition Derby|Demolition Derby|,"Sep 16, 2003",27,3 Romans,Global Star Software,8.3,E,Weaklings need not apply. In Ultimate Demolition Derby you have one goal and one goal alone: Annihilate your opponents as you smash your way through four different tracks filled with dangerous obstacles and deadly corners. Take your pick from a selection of nine unique vehicles and get ready for some high-speed ultra-violence. [Global Star Software],Ultimate Demolition Derby
Strategy|Real-Time|Fantasy|General|,"Feb  8, 2012",27,Brain Candy,Brain Candy,2.4,None,The original release of this game was an unmitigated disaster - many people got stuck on the login screen and were unable to progress further.,Fray
Action Adventure|Adventure|General|Sci-Fi|Sci-Fi|General|,"Nov 27, 2001",26,Artematica,Microids,5.1,M,"<span class=""blurb blurb_collapsed"">Condemned to an eternal vegetative state, the very sexy Druuna is waiting for someone to free her from her sick, claustrophobic and dilapidated world, inhabited by people suffering from a terrible virus that transforms them into bloodthirsty beasts.<br/>A symbiotic computer directly linked to</span>",Druuna: Morbus Gravis
Action Adventure|Modern|General|Modern|,"Jul 12, 2005",26,Backbone Entertainment,Global Star Software,2.5,E,"Step inside the magical world of Willy Wonka's famous chocolate factory. Based on the feature film directed by Tim Burton and the classic Roald Dahl book, the game allows players to explore deep inside the factory and play the beloved story as Charlie Bucket. Find a Golden Ticket and, along with four other children, win a personal tour of Willy Wonka's factory guided by the notorious and reclusive candy-maker himself. Embark on a fantastic adventure exploring the many extraordinary environments of the factory, including some from the book that do not appear in the film. Discover what happens after the other children, greed-driven and unrestrained, wreak havoc throughout the factory. Then save the chocolate factory from their destruction by solving mystifying puzzles and using inventive candy powers. By helping the Oompa-Loompas and restoring order to the factory, Charlie can earn the respect of Willy Wonka and win an unexpected prize. Acquire incredible abilities by using fantastic new candies in order to save the factory. Stop the ""rotten"" children from causing chaos and destruction throughout the candy factory. Repair huge, bizarre candy-making machines by solving puzzles and enlisting the help of the Oompa-Loompas. Explore numerous rooms and environments inside Willy Wonka's chocolate factory. [Global Star]",Charlie and the Chocolate Factory
Action|General|General|Shooter|Third-Person|Sci-Fi|Arcade|,"Jul 16, 2013",26,Old School Games,Atlus,1.5,T,"Based on the 3D supernatural action-adventure film, R.I.P.D., you and your partner strap on the holsters of two lawmen assigned to the otherworld to protect and serve the living from an increasingly destructive array of souls who refuse to move peacefully to the other side. Top-notch teamwork and an arsenal of badass weapons are the keys to defeating your enemies and bringing order back to the world.",R.I.P.D. The Game
