genres,metascore,developer,userscore,rating,publisher,title,summary,release_date
Simulation|Virtual|Career|,43,Bossa Studios,4.4,T,Bossa Studios,Surgeon Simulator: Experience Reality,This game is ridiculously fun once you've placed your PlayStation Camera in a good angle. The majority of these reviews complain about the,"Dec  3, 2016"
Action Adventure|Sci-Fi|General|,43,Edge of Reality,4.2,T,Activision,Transformers: Rise of the Dark Spark,"Fight your way through both Earth and Cybertron universes in an unforgettable battle to secure the Dark Spark. Play the expanded four-player co-op online escalation mode with new upgradeable defenses and challenging Power Foes. The new leveling system spans campaign and escalation, allowing players to unlock rewards that will aid progression in both modes.","Jun 24, 2014"
Arcade|Sports|Traditional|Team|Basketball|Arcade|,43,EA Sports,2.6,E,Electronic Arts,NBA Live 14,"BounceTek -- Revolutionary physics-based dribbling allows for complete, organic control and authentic responsiveness. Utilize a full suite of dribble moves to unleash ankle-breaking crossovers, hesitations and more. CourtQ Delivers Real Time NBA -- Leveraging live synergy Sports Technology data, NBA LIVE 14 is driven by over 70 player ratings, tendencies, and team stats updated every NBA game, ensuring that your game is always in-sync with the real NBA. With fresh content and challenges updated on a daily basis, NBA LIVE 14 delivers a new experience each and every time you pick up the controller, delivering the pulse of the NBA 24/7/365.","Nov 19, 2013"
Sports|Individual|Combat|Wrestling|,43,Visual Concepts,1.6,T,2K Games,WWE 2K20,"F the haters. This game is still fun.  And it’s gonna be patched.  Yukes left them high and dry. I feel bad for the developers at 2k.  Next years will be better with a year under their belt and a long lead time, but this game is still fun as well!  You can’t help but chuckle at some of the glitches","Oct 22, 2019"
Racing|Arcade|Other|,42,Viewpoint Games,5.6,E,Viewpoint Games,VR Karts,"The checkered flag is about to drop on a new Virtual Reality racing experience. Get in the drivers’ seat of your own customized kart and race against other players. Race through stunning environments, collect power ups and use weapons to gain the upper hand over other racers. VR Karts is a fun and family-friendly racing game designed specifically for Virtual Reality. [Playstation.com]","Sep 12, 2017"
Action|Fighting|3D|,42,CUBETYPE,3.5,T,NIS America,Touhou Kobuto V: Burst Battle,"Touhou Kobuto V: Burst Battle is a bullet-hell battle game that takes place in the Touhou universe. Take control of one of nine Touhou characters and eliminate your opponent using bullet-hell patterns, melee attacks, or spell cards! Featuring ear-tingling beats for each character, you might just find yourself dancing while you play!","Oct 10, 2017"
Racing|Simulation|Automobile|,42,Rainbow Studios,4.6,E10+,THQ Nordic,MX vs. ATV All Out,"The free physics make this game far more fun than any other current motocross game, and the track deformation is unmatched and makes the game much more realistic especially while including 2019 and 2020 AMA Pro Nationals. A few bugs including getting stuck inside track banners and the rare occasion of a game crash atop me from leaving 10/10 but I can easily say this is the best motocross game on the market right now with a very active community surrounding it.","Mar 27, 2018"
Simulation|Racing|Arcade|Vehicle|Automobile|Civilian|,42,Team6 Game Studios,6.6,E10+,GS2 Games,Taxi Chaos,"Taxi Chaos  is a casual arcade racing game where you select one of a wide range of unlockable cabs, each of whom has different attributes: the strong muscle car, the superfast exotic supercar, the corner-drifting Japanese tuner, an American classic from the ‘60s and more: Taxi Mayhem has them all. Your goal is to try and earn big cab fares, by picking up any customers and dropping them off at their destination spots as fast as possible before you run out of time! However, beware: most customers are a little crazy.","Feb 23, 2021"
Racing|Arcade|Automobile|,42,Bamtang,5.0,E,GameMill Entertainment,Nickelodeon Kart Racers,"A new multi-player console racing game, Nickelodeon Kart Racers! Select a racer from one of your favorite Nickelodeon series, including SpongeBob, Patrick, and Sandy from SpongeBob SquarePants, Leonardo, Raphael, Michelangelo, and Donatello from Teenage Mutant Ninja Turtles, Arnold and Helga","Oct 23, 2018"
Western-Style|Role-Playing|General|Action RPG|,42,Nordic Games Publishing,4.8,T,Nordic Games Publishing,Arcania: The Complete Tale,"The empire of Myrtana is in upheaval. The power-hungry king is on a mission to conquer the southern islands - no matter the cost. In these difficult times you find yourself in the middle of civil unrest and war - caused by a mysterious ancient power. In the add-on ""Fall of Setarrif"", Argaan's fate, once more, teeters on the edge of your sword. Face your destiny and make a path to Setarrif blocked by monsters, churning streams of lava, deadly dungeons and a frantic population in desperate need of help.","May 12, 2015"
