genres,release_date,rating,publisher,metascore,developer,title,userscore,summary
Action|Beat-'Em-Up|3D|,"Nov 14, 2017",E10+,Outright Games,41,Outright Games,Ben 10,4.5,"Ben, Gwen, and Grandpa Max once again have their cross-country road trip in the Rust Bucket cut short by super villains and their evil, world-threatening plans. As Ben Tennyson, it's up to you to save the world. Take on some of Ben's most infamous enemies, including Zombozo, Queen Bee, and"
Action|Strategy|Turn-Based|General|Tactics|,"Mar 17, 2020",M,Curve Digital,41,Kuju Entertainment,Narcos: Rise of the Cartels,3.2,"Welcome to Colombia, 1980's -- the fires of El Patron's empire have been lit, its influence spanning borders, and expansion unabated. Influence and corruption is rife; cops, guards, politicians and those in between are falling into the pocket of the Medellín Cartel, and after years of"
Action|Shooter|Third-Person|Arcade|,"Jul  5, 2018",E10+,Marvelous AQL,41,Marvelous AQL,Assault Gunners HD Edition,tbd,"<span class=""blurb blurb_collapsed"">ASSAULT GUNNERS HD EDITION puts you in control of the Peace Keeping Force known as DAT and along with your three allied Battle Mechs, you must attempt to save Earth's Migrants and the Mars Colonies as a whole from the threat of the ANTS uprising.<br/><br/>Who or what could be leading this threat</span>"
Adventure|3D|First-Person|,"Oct 10, 2019",T,A Brave Plan,41,Bossa Studios,The Bradwell Conspiracy,8.0,"Following a sudden explosion at the Stonehenge Museum fundraiser, you find yourself trapped in a hidden underground complex. Faced with a series of puzzles, your only means of escape is by sending photographs of your surroundings to another survivor confined elsewhere. But before long, a disturbing truth begins to dawn…"
Racing|Arcade|Automobile|,"Oct 23, 2018",E,GameMill Entertainment,41,Bamtang,Nickelodeon Kart Racers,4.8,"Hit the Slime-filled race tracks with Nickelodeon Kart Racers. Select a racer from one of your favorite Nickelodeon series, including SpongeBob, Patrick, and Sandy from SpongeBob SquarePants, Leonardo, Raphael, Michelangelo, and Donatello from Teenage Mutant Ninja Turtles, Arnold and Helga from Hey Arnold!, & Angelica, Tommy and Reptar from Rugrats. Race your friends in up to 4-player local multiplayer or check out the Battle Arena for a variety of challenges. Hit the road with racers from some of your favorite Nickelodeon series in a variety of Slime-filled tracks in the ultimate race to win cups and upgrades for your Kart! There's no slowing down there -- shift to the next gear and challenge your friends in split-screen racing and battle modes."
Role-Playing|Action RPG|,"Sep  4, 2018",E10+,Wales Interactive,40,Fishcow Studio,Moonfall Ultimate,tbd,"Moonfall Ultimate is a 2D side-scrolling, action-RPG, set in an industrial gothic universe. Hack, slash and cast your way through a treacherous hand-painted world in solo, couch co-op or endless arcade mode. Choose your class and upgrade your gear with metroidvania-style exploration and a focus on strategic real-time combat. Discover a story of The Empire, a once small kingdom now under threat from so-called Savages. They hunt a mysterious element known as Lunarium which resides in The Empire and you, a dauntless recruit, must protect the land at the front line. "
Adventure|3D|First-Person|,"Oct 17, 2017",M,Wales Interactive,39,Wales Interactive,Don't Knock Twice,2.8,"<span class=""blurb blurb_collapsed"">Don't Knock Twice is a first-person virtual reality horror game based on a psychologically terrifying urban legend. To save her estranged daughter, a guilt-ridden mother must uncover the frightening truth behind the urban tale of a vengeful, demonic witch.<br/><br/>One knock to wake her from her</span>"
Action|Adventure|General|,"Sep 13, 2018",M,XSEED Games,39,Honey Parade Games,Senran Kagura Reflexions,7.7,"Can you feel it? The beating of her heart... In a classroom after school, learn the ways of ""Reflexology"" by syncing with her heart and body. SENRAN KAGURA combines with HD Rumble on the Nintendo Switch. She called you into the classroom after school. She's waiting there for you. But she"
Adventure|3D|First-Person|,"Jul 27, 2018",E10+,tinyBuild,39,tinyBuild,Hello Neighbor,4.0,"<span class=""blurb blurb_collapsed"">Hello Neighbor<br/>Creepy, Terrifying, and Annoying<br/>Hello Neighbor is a stealth horror puzzle game where you play a kid that peeks inside your</span>"
Action|Platformer|2D|,"Dec 21, 2017",T,Cinopt Studios LLC,39,Cinopt Studios LLC,The Deer God,2.7,"<span class=""blurb blurb_collapsed"">The Deer God is a breathtaking 3D pixel art adventure that will challenge your religion and your platforming skills. <br/>It's a game about survival, reincarnation, and karma; all set in a breathtaking and unique 3D pixelized world. <br/>Feast your eyes on the beautiful lighting, day and night</span>"
Action|Action Adventure|General|Shooter|First-Person|Arcade|,"Sep  3, 2020",E10+,No Gravity Games,38,No Gravity Games,Connection Haunted,tbd,None
Action|General|Beat-'Em-Up|3D|,"May 14, 2019",M,Gaijin Distribution,38,Gaijin Distribution,Blades of Time,5.3,"In Blades of Time, players don the persona of the gorgeous gunsword-wielding treasure hunter, Ayumi. Blessed with beauty and a trigger happy finger, she's on a mission to find lost bounties in a mysterious and dangerous island. Quickly, she learns this island isn't just trees, berries and gold - but something more sinister lies beneath the surface. As the wonderment of the island becomes to reveal itself, she learns this land can gift her powers man can only dream of, but also she's not alone on this island! Thank goodness she brought her own weapons. Ayumi then proceeds to battle against menacing villains on the island by destroying them and everything in her path while looking to acquire magical powers that only the strongest warrior can possess."
Sports|Team|Baseball|Arcade|,"Sep  5, 2017",E,MLB AM,38,MLB AM,R.B.I. Baseball 17,4.7,"R.B.I. Baseball 17 returns in the fourth edition of the classic franchise, developed by MLB.com. Fun, fast paced, high-octane baseball action bring back R.B.I's pick-up-and-play roots. Take control of your game with reactive pitching and batting systems that allow for in-the-moment decisions. R.B.I. 17 is packed with 30 authentic ballparks, advanced stat tracking, season game sims and roster updates throughout the season. R.B.I. Baseball is back, you gotta come ready to play. [Nintendo]"
Action|Fighting|3D|,"Oct 10, 2017",T,NIS America,38,CUBETYPE,Touhou Kobuto V: Burst Battle,5.1,"Touhou Kobuto V: Burst Battle is a bullet-hell battle game that takes place in the Touhou universe. Take control of one of nine Touhou characters and eliminate your opponent using bullet-hell patterns, melee attacks, or spell cards. Featuring ear-tingling beats for each character, you might just find yourself dancing while you play."
