genres,release_date,rating,publisher,metascore,developer,title,userscore,summary
Action|General|Fighting|3D|,"Dec 22, 2020",None,Modus Games,58,Modus Studios Brazil,Override 2: Super Mech League,tbd,"<span class=""blurb blurb_collapsed"">Override 2: Super Mech League<br/>a fun little party mechfighter<br/>Override 2: Super Mech League is an up to 4 play mech brawler that can be</span>"
Role-Playing|Action RPG|,"Feb  4, 2021",M,Nacon,58,Cyanide,Werewolf: The Apocalypse - Earthblood,4.6,"excelente juego muy entretenido e innovador, tiene buenas graficas y  físicas muy recomendable, cuenta con una historia impactante y muy bien escrita lo recomiendo jugar este grandioso videojuego"
Action|Strategy|Turn-Based|Shooter|First-Person|Tactics|Arcade|,"Jun  1, 2021",M,Focus Home Interactive,56,Focus Home Interactive,Necromunda: Hired Gun,5.3,"First a tip for players, set aiming assist to 50% and controller deadzone to 10% this cleans up aiming issues a lot. A disappointing FPS hampered by bugs. I really had high hopes for this game. Necromunda: HR is a fast paced frantic FPS in the style of Doom and that's what hooked me. A Doom style game set in 40K? Yes yes yes.There is wall running, double jumping, and even a grappling hook. The set pieces are intricately designed with the lore in mind and there is so much to look at the game nails almost all of it. The narrative is hardly original, you are a bounty hunter betrayed on the first mission and looking for revenge. But hardly anyone plays shooters for the story. When it comes to gameplay the game throws endless waves of enemies at you as you progress through levels. Levels can range from small sewer's to huge open spaces. There are tons of nooks and crannies to explore and the devs have hidden loot chests and pick ups all over the maps. Problem is, sometimes the HUD does not give good indication of where you need to go. There are four catagories of guns (pistol, special, heavy, and basic) all of which can be customized and two catagories of special trait items that effect stats. And that is where we come to some of the games glaring issues. For a supposed ""looter"" the loot menu and loadout screen is horrendously bad. There is little in the way of information on how special items work and most seem inconsequential. It feels like the loot system was thrown in with little planning or thought because it feels so shallow. There are some bugs as of right now (camera movement, clipping through walls during takedowns, the gun not shooting). Wall running is different in HR than in Titanfall. Instead of just automatically happening like in Titanfall you have to hold down A (which is also the jump button). You can see the issue when pressing A twice does a double jump. It makes wall running frustrating and honestly I use it very little unless forced to. I am sure they will be patched soon and when they do I will come back and update my review.  At this point I cannot recommend this game on XBSX until it is patched. Once it has been there is great potential for it to be a fun mindless shooter."
Action Adventure|Survival|,"Sep  2, 2021",T,Chorus Worldwide,56,Tricore Inc.,Yuoni,tbd,None
Miscellaneous|Compilation|,"Nov 11, 2021",M,Rockstar Games,56,Rockstar Games,Grand Theft Auto: The Trilogy - The Definitive Edition,0.7,"Three iconic cities, three epic stories. Play the genre-defining classics of the original Grand Theft Auto Trilogy: Grand Theft Auto III, Grand Theft Auto: Vice City and Grand Theft Auto: San Andreas updated for a new generation, now with across-the-board enhancements including brilliant new lighting and environmental upgrades, high-resolution textures, increased draw distances, Grand Theft Auto V-style controls and targeting, and much more, bringing these beloved worlds to life with all new levels of detail."
Action|Shooter|First-Person|Arcade|,"Dec  7, 2021",None,Devolver Digital,55,Croteam,Serious Sam 4: Planet Badass,6.5,"Humanity is under siege as the full force of Mental's hordes spread across the world, ravaging what remains of a broken and beaten civilization. The last remaining resistance to the invasion is the Earth Defense Force led by Sam ""Serious"" Stone and his heavily-armed squad of misfit"
Action|Adventure|General|Shooter|First-Person|Arcade|,"Nov 10, 2020",None,Playism,55,FYQD Personal Studio,Bright Memory,4.2,"Bright Memory is a lightning-fast fusion of the FPS and action genres, created by one-man development studio FYQD using Unreal Engine. Combine a wide variety of skills and abilities to unleash dazzling combo attacks. SRO (Supernatural Science Research Organization) agent Shelia's adventure"
Sports|Individual|Tennis|,"Mar 30, 2021",None,Maximum Games,55,Big Ant Studios,Tennis World Tour 2,5.8,"Tennis World Tour 2 is a tennis video game developed by Breakpoint Studio and published by Maximum Games. Tennis World Tour 2 is now the best tennis game of the next generation; a large improvement over the embarrassment of its original Xbox One predecessor that still had many issues after its launch patch. The best tennis video games offer addictive gameplay, and solid control and brilliant graphics. At the genre’s best, there’s something about executing the shots that excites you and encourages you to play this time around. Tennis World Tour 2 doesn’t quite have that quality, but it’s not the worst gameplay experience your encounter either. I have many fond memories of my time with my arcade version of Sega's Virtua Tennis 2 so I am a bit of a tough critic on Tennis titles as a fan of the game and genre. The good section is a bit sparse, but there are some aspects of the game that pop because of good lighting. These bright spots are more prevalent for night matches. Those who have played AO Tennis 2 will find this system familiar. For the most part it is, although there is one crucial difference and it’s a change that almost ruins the experience for rookie players. This time around, there is no indicator to tell the player when to release the button and little consistency in regards to hitting a perfect shot. At the end of the day, I could go through all of the modes and talk about some of the other areas the game struggles but the core gameplay of Tennis World Tour 2 is just up to par with where it needs to be to be a solid Tennis title for your Xbox Series X. The mechanics and the animation feel a bit dated and somewhat bland but if your a seasoned player of the genre there is something here for you. If you aren't a traditional player of Tennis titles you may want to approach with a bit of caution from the changes made to the new version while improvements are apparent it can be a bit cumbersome for newer players in the end. As a fan I recommend it for your Xbox One library if you are a fan of the genre."
Adventure|3D|First-Person|,"Feb  2, 2022",M,EastAsiaSoft,54,Tonguc Bodur,The Dead Tree of Ranchiuna,tbd,"Witness the soul-searching journey of a university graduate as he returns to the village where he grew up. Upon his arrival, he finds the place deserted and instead witnesses visions of an incident that happened there some time ago, including another’s return to the village unaware of what lay before them. These visions are of various times and places, leaving the player to search for clues and unravel the surrounding mystery. The Dead Tree of Ranchiuna is an immersive experience that explores how unfair society can be, both in a direct and realistic manner and with the power of fantasy elements, symbolism and abstract storytelling. Play in first or third person, navigating detailed environments across a huge seamless map. Solve puzzles, discover hidden dialogue through careful exploration and unlock new post-game features to extend the experience."
Action|Beat-'Em-Up|2D|,"Jul  1, 2021",None,Digital Eclipse,52,Digital Eclipse,Space Jam: A New Legacy - The Game,5.3,"Space Jam: A New Legacy – The Game features the beloved Looney Tunes characters Bugs Bunny and Lola Bunny and the newest member of the Tune Squad, LeBron James, as they face the Goon Squad in a wacky basketball beat ‘em up. A rogue artificial intelligence named Al G. Rhythm has trapped our heroes inside the Warner Bros. server, with little chance of escape. The Tune Squad must fight their way through a virtual army of Al G.’s creation while also searching for four pieces of “Legacy Code” that will allow them access to the nefarious villain’s secret location. Al G. has sent two members of the Goon Squad – The Brow and White Mamba – to stop the Tune Squad in their tracks. Fortunately, our heroes have access to a variety of moves, including a special basketball, and some rather unique Space Jam cards, to help them out. But will their teamwork be enough to stop Al G. Rhythm’s evil plans?"
