genres,release_date,rating,publisher,metascore,developer,title,userscore,summary
Action Adventure|General|,"Mar 21, 2017",T,Maximum Games,33,Maximum Games,Troll and I,5.0,"Deep in the Nordic wilderness, a teenage boy named Otto is forced to flee his home after a band of brutal hunters rip through his village in search of a mythical creature rumored to inhabit the forest. Now on the run for his life, Otto inadvertently finds and befriends the elusive creature"
Action Adventure|General|,"Mar  1, 2016",M,Maximum Games,33,Maximum Games,Alekhine's Gun,2.5,"It is the height of the Cold War, a time of global uncertainty and civil unrest. In this stealth shooter you play Agent Alekhine, a highly skilled Russian assassin driven by a moral compass that leads you headfirst into a covert operation unsanctioned by the country you serve. Working alongside American CIA agents, your mission is clear - though how you accomplish it is anything but - as the tension of a nuclear standoff grows with each passing minute. In a world where one wrong move could be the end of you, navigating a new direction comes at a price. "
Simulation|Vehicle|Combat|,"Nov 14, 2017",M,Maximum Games,33,Maximum Games,Road Rage,3.3,"I spent a great deal of time playing Road Rash back in the day, and without a doubt it was one of the most enjoyable and satisfying games around in that era. When Road Rage was first announced to say I was excited was definitely an understatement. Unfortunately though this adaptation of Road Rash is simply awful and it never offers you anything that will make you fall in love with it like its predecessors did. The amount of technical issues in the game is way too high and this will already be enough to put a lot of people off, but this is just the tip of the iceberg when it comes to Road Rage’s problems. The riding and combat in the game are simply awful and offer you nothing at all. Riding feels unresponsive and never feels exciting and the combat is even more dull with every weapon feeling the same and never packing a punch to even remotely satisfy you. It does have a bit of variety when it comes to the missions you can take part in, but this is quickly forgotten because the world in which the game takes place in is lifeless and the AI has nothing going for it. They have tried to add a story in the game but this is also a failure and nothing that’s included in the story is memorable at all. The presentation side of the game is definitely hit and miss. I actually quite enjoyed the soundtrack that was present in the game, but when it came to the visuals I was really disappointed because certain areas can look really ugly at times. At the end of the day to say that I was really disappointed with Road Rage would be a massive understatement. The game fails to get any of the basics right, and there really isn’t anything that will make you want to keep playing. Some of the problems in the game are completely unforgivable and without a doubt this game tarnishes the good reputation of the Road Rash series. I can’t stress enough that you should stay away from this game and if you were a fan of the Road Rash series then you will find this game horrifying."
Simulation|Virtual|Career|,"Jun 10, 2016",E,UIG Entertainment,33,Visual Imagination Software,Professional Farmer 2017,tbd,"Watching loading screens, that's what you do half of your time playing this game. Because of this, it takes ages to get somewhere or do something. Slow progress. The pro's are: It's a very realistic game, quite fun to play, OK sounds and really relaxing. But there are way better farming sims out there, so I wouldn't really recommend this one to be honest."
Action|Shooter|First-Person|Arcade|,"Nov 10, 2020",M,Microids,32,PlayMagic Ltd,XIII (Remake),3.4,"XIII is a remake of the cult first-person action game that was initially released in 2003. You play as ""XIII"", a man without an identity, in a solo campaign with numerous twists and turns. Inspired by the eponymous graphic novel, the game features a completely reinvented and unique"
Sports|Team|Baseball|Arcade|,"Mar 20, 2018",E,MLB AM,32,MLB AM,R.B.I. Baseball 18,4.6,"The R.B.I. Baseball series is a series that has struggled quite a lot and that’s mainly down to the amount of problems each game has had. Don’t get me wrong it’s not as bad as some people make out but it also isn’t very good either. Still after all the problems the series has had I was still kind of looking forward to R.B.I. Baseball 18 in a way and I was hoping that they would rectify some of the problems the previous games had, but unfortunately that wasn’t the case. It’s not all doom and gloom though because I think this game is better than the others in a way and there is quite a bit of decent content for you to wade through. I also liked the new mode additions and they did provide me with some enjoyable moments at times which in turn gave the game a little replayability. Unfortunately the problems don’t take long to rear their ugly head and once again you end up having to deal with a bunch of technichal issues which will definitely be off-putting for quite a lot of people. I also found some of the mechanics in the game to be on the awkward side and I especially thought that to be the case when it came to the pitching and hitting aspects of the game. This is a shame because the controls feel great and the simplicity of them means things never get too complicated which is what I want from a baseball game. If you’re one of those people who likes to jump in a game almost immediately then you will find this game to be pretty irritating because the loading times seem to go on forever and this obviously harms the fun factor quite considerably. If you look past the long loading times though then you will find some brief enjoyment here and there and I especially found that to be the case when playing online, and thankfully there wasn’t many problems playing with friends online. The presentation side of the game to my amazement seems to have taken a backwards step and the visuals and sound design are very lacklustre to say the least. I’m also shocked that there is still no commentary because in my opinion this would have given the game a little bit of much needed character. At the end of the day if you left the R.B.I. Baseball series then this game isn’t going to make you want to return back to it. It does get a few things right and there are a couple of improvements but it still has too many problems that strangle the life out the game and when it’s all said and done it just doesn’t do enough to get a recommendation from me unless you re huge baseball fan."
Action|Platformer|2D|,"Aug 19, 2015",E,EuroVideo Medien,32,Black Forest Games,Giana Sisters: Dream Runners,4.9,"When I heard this game was in production I nearly shat my pants. Like for real. I don't even need a wife anymore, I can just have sex with this game. AI....WONDERFUL. Gameplay........FLAWLESS Graphics.......GAVE ME EYE ORGASMS. 10/10 best game of the history of the universe.-Nickeldym."
Action|Shooter|Third-Person|Arcade|,"Jul 31, 2018",M,Deeli network,32,Deeli network,Gene Rain,3.6,"Sometimes a game doesn’t have to be AAA release to be a success and I could go on to name a lot of different game’s that proved to be awesome even though they weren’t AAA game’s. I’m always willing to try anything new no matter how big and small it is and even though you associate shooters with having big production costs sometimes the smaller game’s can provide you with some enjoyable and in the end surprising moments. Gene Rain is a shooter that did surprise me a few times during my playthrough and whilst it did suffer with quite a few shortcomings I did appreciate the effort that has gone into certain areas even if it does fall a little short in the end. Obviously the most important aspect in a game of this ilk is its shooting elements and I’m pleased to say that they did very well with these elements. Shooting enemies felt very satisfying and there is quite a bit of fun to be had when thrown into these sections of the game and in my opinion the shooting elements would’ve been even better if the controls were a little more fluid and responsive. Thankfully though I was able to look past the control issues and that was mainly down to the game’s variety. There is plenty of variety present in the game and I found that to be especially the case when it came to the enemies you have to tackle during your playthrough. Even though the game does have quite a bit of variety included in it I would still recommend that you play the game in intervals because it can get a little tedious and repetetive after a while, but this isn’t a major problem for me though because I find I have to do this with most shooters. In terms of content the game has a decent amount for you to get to grips with and in my opinion the length of the game is absolutely perfect and you do get good value for your money. Of course there’s also a story present in the content that’s avaliable to you as well but I found the story to be a little lacklustre and in the end I lost interest in the story quite quickly, which is a shame. Something I didn’t lose interest in though was the presentation side of the game. Don’t get me wrong the presentation isn’t perfect and the cut-scenes are a little dissapointing, but on the whole I mainly enjoyed both the visuals and sound design and I think they both gave the game quite a bit of character. At the end of the day Gene Rain would have scored higher with me if it didn’t have the few niggling and unnecessary problems it has because as far as shooters go it’s not a bad effort at all and in the end it probably just does enough to get a small recommendation from me."
Action|Miscellaneous|Fighting|Party / Minigame|2D|,"Sep 10, 2020",E10+,Merge Games,32,Dark Screen Games,Bounty Battle,tbd,"Bounty Battle is the indie fighting game -- a new multiplayer 2D fighting game, where you can square off as your favorite indie hero against other indie heroes from games like Guacamelee!, Darkest Dungeon, Dead Cells, and Psychonauts 2 among other awesome indies. The game features more than 30 character, each with their own companion Minion and unique abilities. It's Super Smash Bros. meets indie games where you battle across levels inspired from indie game worlds with up to 4 players."
Action|Beat-'Em-Up|2D|,"Apr 24, 2020",None,Super Villain Games,32,Super Villain Games,Doug Hates His Job,tbd,"As a person who actually played the game fully and not basing a review off the first level, I found this game to be fun, challenging and very entertaining. The gameplay does have its issues but the stupid story and silliness of the game makes up for it. I can relate 100% to the story of Doug as I too, hate my job. If you hate your job, you just give this game a try. Also, it was pandas with AKs and they are hard to kill man. Thankfully the American flag was there to save the day."
