id,sweet,acidity,body,tannin,type
141536,1.0,4.0,4.0,1.0,2.0
161650,1.0,4.0,4.0,1.0,2.0
140216,1.0,3.0,3.0,1.0,2.0
161730,1.0,4.0,2.0,1.0,3.0
164040,1.0,4.0,2.0,1.0,3.0
162844,1.0,3.0,4.0,1.0,3.0
146962,1.0,5.0,3.0,3.0,1.0
164516,1.0,5.0,2.0,1.0,3.0
139251,1.0,3.0,3.0,3.0,1.0
137401,1.0,3.0,5.0,4.0,1.0
161841,1.0,3.0,3.0,4.0,1.0
161708,1.0,3.0,2.0,1.0,2.0
161583,1.0,3.0,5.0,5.0,1.0
139719,1.0,3.0,4.0,4.0,1.0
166321,1.0,4.0,4.0,1.0,2.0
150238,1.0,3.0,5.0,5.0,1.0
164270,1.0,4.0,3.0,3.0,1.0
160955,1.0,3.0,4.0,3.0,1.0
149149,1.0,4.0,3.0,3.0,1.0
153840,1.0,4.0,4.0,1.0,2.0
154266,2.0,3.0,4.0,1.0,4.0
153490,2.0,2.0,5.0,3.0,1.0
160014,2.0,2.0,3.0,1.0,3.0
162187,2.0,3.0,3.0,1.0,3.0
140178,2.0,3.0,2.0,1.0,3.0
137447,2.0,3.0,3.0,3.0,1.0
156527,2.0,4.0,3.0,1.0,2.0
165695,2.0,3.0,2.0,1.0,2.0
148191,2.0,3.0,2.0,2.0,1.0
162296,2.0,2.0,2.0,1.0,2.0
159525,2.0,2.0,3.0,1.0,3.0
156560,2.0,3.0,2.0,1.0,2.0
137413,2.0,3.0,3.0,2.0,1.0
162312,2.0,2.0,4.0,3.0,1.0
138695,2.0,5.0,3.0,1.0,2.0
163803,2.0,3.0,4.0,3.0,1.0
162675,2.0,4.0,3.0,1.0,2.0
137908,2.0,2.0,3.0,1.0,3.0
154588,2.0,2.0,5.0,1.0,5.0
147789,2.0,4.0,3.0,4.0,1.0
158348,3.0,1.0,1.0,1.0,3.0
146171,3.0,2.0,2.0,1.0,3.0
165317,3.0,2.0,2.0,2.0,1.0
155872,3.0,2.0,3.0,1.0,3.0
140315,3.0,3.0,5.0,3.0,1.0
144512,3.0,4.0,2.0,1.0,2.0
162831,3.0,2.0,2.0,1.0,4.0
153883,3.0,3.0,4.0,1.0,2.0
148900,3.0,2.0,2.0,1.0,5.0
148019,3.0,2.0,2.0,2.0,1.0
148186,3.0,2.0,3.0,1.0,3.0
166298,3.0,1.0,4.0,1.0,5.0
155829,3.0,3.0,3.0,1.0,2.0
145766,3.0,2.0,3.0,2.0,1.0
142831,3.0,2.0,2.0,1.0,3.0
145502,3.0,1.0,3.0,2.0,1.0
165683,3.0,4.0,2.0,1.0,3.0
159055,3.0,4.0,3.0,4.0,1.0
141212,3.0,3.0,2.0,1.0,3.0
143526,3.0,2.0,1.0,1.0,2.0
151920,4.0,1.0,1.0,1.0,2.0
159510,4.0,2.0,2.0,1.0,2.0
155899,4.0,2.0,2.0,1.0,2.0
149585,4.0,2.0,2.0,1.0,2.0
164276,4.0,2.0,1.0,1.0,2.0
140062,4.0,2.0,3.0,1.0,2.0
163250,4.0,1.0,2.0,1.0,3.0
165711,4.0,2.0,2.0,1.0,3.0
147844,4.0,3.0,2.0,3.0,1.0
149446,4.0,2.0,4.0,4.0,1.0
155519,4.0,2.0,1.0,1.0,2.0
153614,4.0,2.0,2.0,1.0,4.0
161126,4.0,2.0,4.0,1.0,2.0
153433,4.0,1.0,3.0,1.0,2.0
140585,4.0,2.0,3.0,1.0,3.0
146252,4.0,2.0,3.0,1.0,2.0
166486,4.0,2.0,2.0,1.0,2.0
166323,4.0,2.0,4.0,1.0,2.0
160871,4.0,2.0,3.0,1.0,2.0
152982,4.0,2.0,3.0,2.0,1.0
138559,5.0,2.0,4.0,1.0,1.0
162738,5.0,3.0,4.0,1.0,2.0
166761,5.0,2.0,2.0,1.0,2.0
139854,5.0,4.0,4.0,1.0,2.0
148437,5.0,2.0,5.0,2.0,1.0
160729,5.0,4.0,4.0,1.0,2.0
162463,5.0,3.0,4.0,1.0,2.0
139803,5.0,3.0,4.0,1.0,1.0
165174,5.0,3.0,3.0,1.0,2.0
163253,5.0,3.0,2.0,1.0,5.0
162003,5.0,4.0,4.0,1.0,2.0
157615,5.0,3.0,5.0,1.0,5.0
163258,5.0,2.0,5.0,1.0,2.0
158278,5.0,2.0,5.0,1.0,2.0
144659,5.0,3.0,5.0,2.0,5.0
137802,5.0,2.0,3.0,1.0,2.0
146649,5.0,2.0,5.0,1.0,2.0
162118,5.0,2.0,4.0,1.0,2.0
159954,5.0,3.0,5.0,1.0,2.0
148417,5.0,2.0,2.0,1.0,2.0
