id,name,producer,nation,abv,degree,sweet,acidity,body,tannin,type,price,year,ml
141536,"Ballot Millot & Fils, Meursault 1er Perrieres",Ballot Millot  Fils,France,13.5,10~12,SWEET1,ACIDITY4,BODY4,TANNIN1,2.0,240000,2004,750
161650,"Domaine Charlopin, Puligny Montrachet",Domaine Philippe Charlopin Parizot,France,,,SWEET1,ACIDITY4,BODY4,TANNIN1,2.0,165000,2017,750
140216,Massolino Langhe Chardonnay,Massolino,Italy,13~14,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,2.0,0,2016,750
161730,"Cuvage, Rose Metodo Classico",Cuvage,Italy,12~13,7~9,SWEET1,ACIDITY4,BODY2,TANNIN1,3.0,0,0,750
164040,Louis Eschenauer Cremant de Bordeaux,GCF  GCF Group,France,11~12,6~8,SWEET1,ACIDITY4,BODY2,TANNIN1,3.0,44000,0,750
162844,"Roger Pouillon, Brut Rose Premier Cru",Roger Pouillon,France,12,7~9,SWEET1,ACIDITY3,BODY4,TANNIN1,3.0,87000,0,750
146962,"Greyrock, Pinot Noir",Greyrock,New Zealand,12.5,16~18,SWEET1,ACIDITY5,BODY3,TANNIN3,1.0,57000,2013,750
164516,"Champagne Lallier, R.014 Brut",Lallier,France,,,SWEET1,ACIDITY5,BODY2,TANNIN1,3.0,200000,2014,750
139251,"Barton & Guestier, Gold Label Medoc",Barton  Guestier,France,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,1.0,38000,2007,750
137401,"Ruffino, Riserva Ducale Oro Chiant Classico Grand Selezione",Ruffino,Italy,14.5,15~18,SWEET1,ACIDITY3,BODY5,TANNIN4,1.0,110000,2015,750
161841,"Footprint, Cabernet Sauvignon",African Pride Wine,the Republic of South Africa,13.9,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,1.0,22000,2019,750
161708,"Grgich Hills, Napa Valley Fume Blanc ",Grgich Hills Estate,USA,14.1,10~12,SWEET1,ACIDITY3,BODY2,TANNIN1,2.0,85000,2017,750
161583,Stonestreet Estate Cabernet Sauvignon,Stonestreet Estate Vineyards,USA,13.5,17~19,SWEET1,ACIDITY3,BODY5,TANNIN5,1.0,250000,2016,750
139719,"Mcguigan, Genus 4 Shiraz",Mcguigan,Australia,13,17~19,SWEET1,ACIDITY3,BODY4,TANNIN4,1.0,0,2002,750
166321,"Bodegas Menade, Sobrenatural",Bodegas Menade,Spain,,,SWEET1,ACIDITY4,BODY4,TANNIN1,2.0,160000,2015,750
150238,"Handpicked, Peter Douglas Signature Cabernet Sauvignon ",Handpicked,Australia,13.8,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,1.0,0,2006,750
164270,Chateau Montaigne,Chateau Montaigne,France,,,SWEET1,ACIDITY4,BODY3,TANNIN3,1.0,0,2015,750
160955,Castano Coleccion,Bodegas Castano,Spain,,,SWEET1,ACIDITY3,BODY4,TANNIN3,1.0,62000,2013,750
149149,"Domaine Philippe Pacalet, Gevrey-Chambertin 1er Cru 'Lavaux Saint Jacques'",Philippe Pacalet,France,,,SWEET1,ACIDITY4,BODY3,TANNIN3,1.0,639000,2008,750
153840,"Bestheim, Riesling Reserve",Bestheim,France,,,SWEET1,ACIDITY4,BODY4,TANNIN1,2.0,0,2012,750
154266,Mas Jullien Rose,Mas Jullien,France,14,12~14,SWEET2,ACIDITY3,BODY4,TANNIN1,4.0,0,2011,750
153490,"Cevico, Terre di Pozzo Amarone della Valpolicella Classico",Cevico,Italy,15~16,16~18,SWEET2,ACIDITY2,BODY5,TANNIN3,1.0,130000,2009,750
160014,Balan Bubble B Rosy,Balan,Italy,,,SWEET2,ACIDITY2,BODY3,TANNIN1,3.0,0,0,750
162187,"Ca'di Rajo, Epsilon Pink Gold",Cadi Rajo Wines,Italy,11,6~8,SWEET2,ACIDITY3,BODY3,TANNIN1,3.0,62000,0,750
140178,"Scrimaglio, Spumante Fiat",Scrimaglio,Italy,11.5,6~8,SWEET2,ACIDITY3,BODY2,TANNIN1,3.0,58000,2004,750
137447,"Trapiche, Merlot",Trapiche,Argentina,13.5,16~19,SWEET2,ACIDITY3,BODY3,TANNIN3,1.0,0,2005,750
156527,Kung Fu Girl Riesling,CHARLES SMITH WINES,USA,,,SWEET2,ACIDITY4,BODY3,TANNIN1,2.0,14000,2018,750
165695,"Louis Max Sud, Le Bon Homme",Louis Max,France,12~13,8~10,SWEET2,ACIDITY3,BODY2,TANNIN1,2.0,36000,2017,750
