id,sweet,acidity,body,tannin,type
161931,1.0,3.0,5.0,4.0,1.0
147249,1.0,4.0,5.0,4.0,1.0
166794,1.0,3.0,5.0,3.0,1.0
162289,1.0,3.0,4.0,4.0,1.0
158963,1.0,4.0,4.0,4.0,1.0
168474,1.0,4.0,3.0,1.0,2.0
161398,1.0,5.0,4.0,1.0,2.0
162017,1.0,3.0,4.0,3.0,1.0
149216,1.0,5.0,3.0,3.0,1.0
148368,1.0,3.0,4.0,3.0,1.0
138238,1.0,3.0,5.0,4.0,1.0
154395,1.0,4.0,3.0,1.0,3.0
149109,1.0,4.0,3.0,2.0,1.0
152908,1.0,3.0,3.0,3.0,1.0
163159,1.0,3.0,4.0,4.0,1.0
145193,1.0,3.0,3.0,3.0,1.0
163684,1.0,4.0,4.0,3.0,1.0
142463,1.0,4.0,4.0,4.0,1.0
142407,1.0,2.0,2.0,2.0,1.0
161953,1.0,5.0,3.0,3.0,1.0
166745,1.0,4.0,2.0,1.0,2.0
161133,1.0,4.0,3.0,3.0,1.0
167484,1.0,4.0,3.0,4.0,1.0
160939,1.0,4.0,3.0,1.0,2.0
161041,1.0,4.0,5.0,4.0,1.0
168305,1.0,3.0,2.0,1.0,4.0
145485,1.0,4.0,4.0,4.0,1.0
149093,1.0,4.0,3.0,2.0,1.0
159223,1.0,4.0,3.0,3.0,1.0
143837,1.0,4.0,3.0,4.0,1.0
146066,1.0,4.0,3.0,1.0,2.0
148643,1.0,3.0,2.0,2.0,1.0
151458,1.0,5.0,3.0,2.0,1.0
141485,1.0,3.0,4.0,3.0,1.0
154803,1.0,4.0,3.0,1.0,2.0
145218,1.0,4.0,2.0,1.0,2.0
156152,1.0,3.0,3.0,1.0,2.0
166103,1.0,4.0,4.0,4.0,1.0
154613,1.0,3.0,4.0,3.0,1.0
151453,1.0,3.0,4.0,5.0,1.0
152091,1.0,3.0,5.0,4.0,1.0
147213,1.0,4.0,3.0,4.0,1.0
165431,1.0,3.0,2.0,1.0,2.0
149570,1.0,4.0,2.0,1.0,3.0
155873,1.0,3.0,3.0,3.0,1.0
155255,1.0,3.0,3.0,3.0,1.0
162388,1.0,5.0,4.0,2.0,1.0
163123,1.0,3.0,3.0,1.0,2.0
152514,1.0,3.0,3.0,3.0,1.0
147389,1.0,4.0,4.0,4.0,1.0
145390,1.0,3.0,3.0,3.0,1.0
165752,1.0,4.0,3.0,1.0,3.0
161553,1.0,3.0,3.0,3.0,1.0
162450,1.0,4.0,3.0,1.0,2.0
166124,1.0,2.0,2.0,2.0,1.0
148577,1.0,4.0,4.0,3.0,1.0
167294,1.0,4.0,2.0,1.0,2.0
141496,1.0,4.0,5.0,4.0,1.0
138987,1.0,3.0,3.0,1.0,3.0
146923,1.0,4.0,4.0,4.0,1.0
161739,1.0,4.0,3.0,2.0,1.0
158385,1.0,4.0,3.0,3.0,1.0
160164,1.0,5.0,3.0,2.0,1.0
148586,1.0,3.0,3.0,3.0,1.0
161831,1.0,3.0,3.0,3.0,1.0
139389,1.0,3.0,4.0,3.0,1.0
141085,1.0,3.0,4.0,4.0,1.0
153998,1.0,3.0,3.0,3.0,1.0
147768,1.0,4.0,3.0,3.0,1.0
168687,1.0,4.0,3.0,3.0,1.0
138409,1.0,3.0,3.0,3.0,1.0
166552,1.0,4.0,1.0,1.0,3.0
145736,1.0,4.0,3.0,4.0,1.0
141203,1.0,4.0,2.0,1.0,2.0
155188,1.0,4.0,4.0,4.0,1.0
162264,1.0,4.0,4.0,3.0,1.0
159512,1.0,3.0,4.0,4.0,1.0
145575,1.0,5.0,2.0,1.0,2.0
162828,1.0,3.0,3.0,1.0,2.0
163945,1.0,4.0,4.0,4.0,1.0
145337,1.0,3.0,3.0,1.0,2.0
148349,1.0,4.0,3.0,4.0,1.0
144858,1.0,3.0,3.0,1.0,3.0
164772,1.0,2.0,4.0,3.0,1.0
163443,1.0,3.0,5.0,4.0,1.0
167352,1.0,4.0,3.0,1.0,2.0
161340,1.0,3.0,4.0,1.0,2.0
162970,1.0,4.0,2.0,1.0,2.0
140831,1.0,3.0,3.0,3.0,1.0
152637,1.0,5.0,5.0,1.0,2.0
166503,1.0,4.0,3.0,4.0,1.0
160586,1.0,3.0,4.0,3.0,1.0
140792,1.0,3.0,5.0,4.0,1.0
152508,1.0,3.0,4.0,4.0,1.0
152155,1.0,3.0,4.0,4.0,1.0
150690,1.0,4.0,2.0,1.0,2.0
168408,1.0,4.0,3.0,3.0,1.0
161049,1.0,3.0,2.0,1.0,2.0
137951,1.0,4.0,5.0,4.0,1.0
138447,1.0,3.0,4.0,3.0,1.0
138971,1.0,5.0,5.0,4.0,1.0
151954,1.0,3.0,4.0,3.0,1.0
163180,1.0,2.0,5.0,4.0,1.0
146046,1.0,4.0,4.0,4.0,1.0
